,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_story,mistral_story,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
10,10,i think we are dong ok,Are we on the same page with our project timeline?,Your presentation seems well-prepared,I think we are dong OK.,low,Do you think we'll be able to resolve our issues like this in the future?,Do you think we need to hire more staff for the upcoming season?,low,"As they sat on the couch, Sarah thought that despite their differences, she and John were doing okay. They had been having some disagreements lately, but they had managed to work through them.","John and Lisa were running their small business together. Though they had faced some challenges lately, John believed they were making progress. Lisa agreed with him and felt they could overcome any obstacle.",0.12009488,0.061106592,0.060027074,0.18035942
11,11,not just 1 to 2,do you ever feel like you're stuck in a rut?,How many books do you usually read in a week?,Not just 1 to 2.,high,Do you think we're making progress?,What other solutions might we consider besides going to the pharmacy?,high,"Jane and Mark were struggling to agree on how to help their daughter, Emma, with her college applications. They had been arguing for weeks, but finally decided to put their differences aside and work together.","Mark and Lisa were parents to three children, all of whom had fallen ill with the flu. The pharmacy was out of stock on the necessary medication. Lisa called Mark at work to discuss their options.",0.16464505,0.2536215,0.030210014,0.04659504
12,12,heres the talking points for anngtc,What are the key takeaways from our last meeting?,Have you prepared the presentation for ANNGTC's quarterly report?,Here's the talking points for ANNGTC.,low,Have you given some thought to the ANNGTC agenda?,What are your thoughts on our strategy for the upcoming ANNGTC negotiations?,low,"Jane had been waiting for Mark's response regarding the ANNGTC event. She needed his input to finalize the plan. Meanwhile, Mark was busy preparing his talking points.",Anna and Nick were preparing for an important business negotiation with Acme National New Technology Corporation (ANNGTC). Anna had gathered some key points that she wanted to discuss with Nick.,0.12624888,0.15820992,0.12537424,0.1519944
13,13,the filing concerns various scheduling and balancing rules,What are the key rules governing financial transactions?,Have you reviewed the new accounting regulations?,The filing concerns various scheduling and balancing rules.,low,How are you planning to manage your workload?,Can you shed some light on the procedures we need to follow in this quarter's budgeting process?,low,"As they worked on their project, Emily struggled with the time constraints and asked Ryan if he could help her prioritize tasks. However, Ryan was dealing with conflicting deadlines and needed to adjust his schedule.",John and Lisa were discussing their business's financial reports for the quarter. The filing concerned various rules regarding budgeting and resource allocation.,0.39355135,0.24654737,0.32630363,0.20810352
14,14,please send to hartsoe for comment,Can you please review the latest sales figures for our quarterly report?,I've noticed some inconsistencies in the marketing campaign data.,Please send to Hartsoe for comment.,low,Have you seen the latest draft?,Do you have a few minutes to discuss the marketing campaign for the new product? I think we might need to make some adjustments.,low,"Mark was at work and had received an email from Jane asking him to review some documents. However, Mark was too busy to look at them before sending them to Hartsoe for comment.","Michael was reviewing the marketing campaign for the new product when he came across an issue. He needed Sarah's expertise to resolve it. However, she was out of the office attending a seminar.",0.1674824,0.062170267,0.052969046,0.11367959
15,15,thus have nothing to destroy,What lies at the heart of all destruction?,Do you believe in the power of redemption?,Thus have nothing to destroy.,high,Do you think we'll ever recover from this?,Anna: Do you remember our argument about your brother's inheritance?,high,"As they stood amidst the ruins of their once-thriving garden, Sarah turned to John and said, 'We've had nothing but bad luck with these crops.'","Anna and Tom lived in peace, having nothing left to fight about. Their once tumultuous relationship had mellowed over the years, and they had become good friends. However, Anna felt compelled to bring up an old issue that she believed would strengthen their bond.",0.26758027,0.13060696,0.018006753,0.1064598
16,16,wish me luck with linda,Will you be going on a date with Linda tonight?,I have an important interview with Linda tomorrow.,Wish me luck with Linda.,high,How's your speech coming along?,I'll be seeing Linda in an hour to discuss my project progress.,high,"John and Emily were planning their upcoming wedding. John was feeling nervous about the big day, so he asked his best man, Alex, to help him prepare.","Tom is going to ask his boss, Linda, for a promotion at their upcoming meeting. He is nervous about the outcome and hopes for her support.",0.42875937,0.34596413,0.1498983,0.26497644
17,17,can you call me at home,Can we discuss the details of my project over the phone?,I've found an important email from your boss,Can you call me at home?,high,I hope you got the job offer?,Is it possible for us to reschedule our conversation?,high,Sarah was concerned about her friend Emily's recent job interview and wanted to discuss the outcome with her. Emily was currently out running errands.,"John had forgotten his wife's birthday and wanted to make things right. He planned to surprise her with a romantic dinner at home. However, Lisa was out running errands and wouldn't be back for hours.",0.2028306,0.084553376,0.09316059,0.13361508
18,18,please call tomorrow if possible,Can we discuss the meeting agenda for tomorrow?,I'd like to discuss the details of our upcoming project.,Please call tomorrow if possible.,high,Is there a good time to talk about Emily's grades?,May we arrange a call for later today to discuss our project?,high,"Jane was anxious to discuss their daughter's academic struggles with Mark. Unfortunately, he was unavailable as he had an important meeting scheduled for the next day.","John needed to discuss some business matters with Lisa, but she was feeling under the weather and asked for the conversation to be rescheduled.",0.18665622,0.054741092,0.1410495,0.2903644
19,19,i would like to attend if so,can you attend the annual corporate party on friday?,Will the seminar on machine learning be held next month?,I would like to attend if so.,high,Are you almost done with your task?,"Would you be presenting at the seminar, John?",high,"Sarah was looking forward to attending a seminar on marketing strategies. However, her colleague, Tom, had to finish an urgent project before the event.","John was invited to an important seminar about renewable energy sources. Sarah, who shared John's interest in this topic, expressed her desire to attend as well. However, she had not yet received an invitation.",0.36478025,0.2907365,0.039001916,0.26758945
20,20,he played goalie almost the entire game,Did Ronaldo play well in the match?,Did Johnson make every save during the soccer match?,He played goalie almost the entire game.,high,How was your day?,"Did you have a good game out there, Tom?",high,John and Sarah were watching their kids play soccer. He played goalie almost the entire game.,"During the soccer match, Tom's impressive goalkeeping skills kept the opposing team from scoring. He played an essential role in securing their victory.",0.37024227,0.45115054,0.021180201,0.15186904
21,21,i am in 50m if you need me,"I'm running late for our meeting, can you meet me at the usual spot?",Can you help me find the address of the new library?,I am in 50M if you need me.,high,Did you receive my email about the project timeline?,"Hey Tom, can I ask for a quick favor? My computer is acting up and I'm not sure what to do.",high,"Sarah needed advice from her colleague, Alex, about an urgent project deadline. However, Alex was out of the office, but left a message saying 'I am in 50M if you need me.'","Tom is the IT support for their company and is currently working on an urgent issue in the server room located at building 50M. Lisa, a colleague from marketing, needs Tom's assistance with her computer but doesn't want to disturb him if it's not necessary.",0.14930406,0.102701634,0.02823392,0.109201826
22,22,would you mind taking the lead on this,Can you please help me with the agenda for today's meeting?,I've been having trouble understanding this report. Could you please explain it to me?,Would you mind taking the lead on this?,high,Do you think I'm getting this part wrong?,"I've managed to contact several potential sponsors, but I could use your help in securing more.",high,"Alex and Jamie were working on a project together. Alex was struggling with the task at hand, while Jamie seemed to be grasping it easily. Alex asked Jamie if he could take over.",Michael and Lisa were planning a charity event for their local community. Michael had taken the initial steps but was struggling to secure sponsors. Lisa suggested they approach some local businesses together.,0.093851395,0.024695674,0.020419506,0.12541033
23,23,ill see you thursday october 25,Are you free to meet on Thursday October 25?,Let's meet up to discuss the project proposal next week.,I'll see you Thursday October 25.,low,Have you decided on the hotel we'll be staying at?,"Hey Mike, do you want to reschedule our coffee date this week?",low,John and Emily had been planning a trip together. They needed to discuss the itinerary before they could finalize their travel plans. John mentioned that he would like to have all the details settled by Thursday October 25.,"Mike and Lisa were planning to meet up for coffee after work on Thursday. However, Lisa had unexpectedly been called into an important team meeting that day.",0.38158643,0.1492795,0.1432288,0.18538186
24,24,probably can handle monday pm,Do you think I'll have time to wrap up my project by Monday?,Can you help me with the project presentation next Monday afternoon?,Probably can handle Monday PM.,high,Do you think we'll meet our deadline?,Can we reschedule our meeting for Tuesday instead?,high,"Alex had been working on a project and was looking forward to wrapping it up before the weekend. His colleague, Rachel, was also busy with her own tasks but seemed more relaxed than usual. Probably can handle Monday PM.","Anna and Tom were discussing their work schedules for the upcoming week. Anna needed to attend an important conference on Tuesday, but Tom had a project deadline on Monday afternoon. Anna suggested they switch their schedules so she could help him with his project.",0.20647685,0.1196571,0.14824902,0.27135807
25,25,i will bring john brindle,Are you bringing the necessary equipment for our meeting?,Have you forgotten to invite John Brindle to the meeting?,I will bring John Brindle.,high,How will this affect our workload?,Will you have all the necessary materials ready for our meeting tomorrow?,high,"As the news of their colleague's departure spread through the office, Sarah decided to speak with her manager, Emma, about the impact it would have on their team. Emma was busy preparing a presentation and would be meeting John Brindle soon.","Michael asked Sarah to prepare for an important presentation. He forgot to tell her that John Brindle, their key investor, would be joining them.",0.3085995,0.46027386,0.045198556,0.25431177
26,26,need you or john to step out,What's going on with John?,John mentioned he left his keys at your place.,Need you or John to step out.,high,Will you be late again?,"Tom, could we schedule this discussion for later today? I need some time to finish what I'm currently working on.",high,"As the evening drew near, Emily needed to discuss her son's behavior with his father, Michael. However, Michael was stuck in traffic and couldn't make it home on time.",The manager of the project requested an urgent meeting with both Tom and Jim to discuss some critical issues. Tom was working on a complex task at his desk when the call came in.,0.2050652,0.21686712,0.07739488,0.118956454
27,27,he would love anything about rocks,Why did you decide to become a geologist?,Have you seen the new geology exhibit at the museum?,He would love anything about rocks.,high,Do you think we'll have enough time at the museum for me to ask Tom about his favorite topics?,"Hey Alex, have you seen these wildflowers around here?",high,"John and Emma were on their way to visit the museum when they stumbled upon Tom, who was enthusiastically explaining the properties of rocks to a group of fascinated people. Emma couldn't help but notice how much Tom loved anything about rocks.",Tom and Alex were hiking in the mountains when they came across a beautiful rock formation. Tom was fascinated by the intricate patterns on the rocks and spent hours examining them.,0.2703185,0.18869822,0.19729006,0.078788415
28,28,a bit behind on my emails,Did you receive my work email?,Have you finished processing that report?,A bit behind on my emails.,high,Do you think we'll be able to finalize the project plan on time?,"Hey Anna, I'd like to go over some things regarding the project, if you have a moment.",high,"Samantha was waiting for an important response from her colleague, Alex, regarding their upcoming project deadline. Meanwhile, Alex was stuck in traffic and couldn't seem to catch up with his emails.","Anna was working on an important project with a tight deadline. She had been focusing so intently that she neglected her emails. Mike, her team member, wanted to discuss some matters related to their project.",0.27014935,0.13413948,0.12709717,0.11302072
29,29,then we can go to zainy brainy,where do you want to go for dinner?,Let's discuss some complex concepts. I believe the human brain is capable of incredible feats.,Then we can go to Zainy Brainy.,high,Do you want to grab a coffee with me?,Shall we check out the toy section at the mall?,high,"After getting her test results, Emma was relieved to know she didn't have to take any further action. Her friend Alex was waiting for her at the park, and then they could go to Zainy Brainy.",John and Lisa were deciding on a place to buy educational toys for their child's birthday. They had considered various stores but hadn't made a final decision yet.,0.24020255,0.18408866,0.17043486,0.1738193
30,30,hope your trip to florida was good,How was your trip to Florida?,I just got back from the Miami heat game.,Hope your trip to Florida was good.,high,How was the weather while you were away?,Did you enjoy your time at the theme parks?,high,"Sarah had been looking forward to her friend Emily's return from a trip to Florida. When they finally met up for coffee, Sarah asked about Emily's travels.","Mike and Lisa had planned a week-long vacation in Florida. They were looking forward to relaxing on the beach and exploring new places together. However, unexpected work commitments forced Mike to leave a day early.",0.52599394,0.18482369,0.29309472,0.3047594
31,31,what is your issue sir,"My laptop is not turning on, what could be the issue?",The software you developed crashes every time I use it.,What is your issue sir?,high,What's going on with Mary and her teacher?,I believe we need to address the issue of the new science lab.,high,"Jane wanted to talk to Mark about their daughter's recent problems with her teacher. However, Mark was at work and seemed quite frustrated.","Mr. Thompson, the principal of the school, was having a heated discussion with the head of the PTA, Ms. Davis, regarding the budget for upcoming projects.",0.23374937,0.11213859,0.16722217,0.068781205
32,32,i told gary you could make the call,Can I make the call to reschedule?,John asked if you could handle the project's budgeting.,I told Gary you could make the call.,high,What do you think of this new proposal?,"Gary, this is Lisa. How can I help you today?",high,"Sarah had some doubts about her company's new project. She wanted to discuss it with David, but he was busy attending a meeting. I told Gary you could make the call.","Mike asked Lisa to contact the vendor to discuss the terms of their latest contract. However, Lisa felt uncomfortable making such calls and requested that Mike handle it instead. Later that day, when Mike was out, Gary from the vendor called Lisa, asking to discuss the contract details.",0.18255079,0.16795473,0.08133383,0.24764122
33,33,i think we should consider this request,Have you considered our financial situation before making that purchase?,Have you heard about the new company policy on employee benefits?,I think we should consider this request.,high,What do you think is holding you back from sharing your idea?,What do you think about the offer we received from the larger company?,high,"Emily had been thinking of quitting her job at the advertising agency. She was unhappy with the recent changes made by the new management team. Her colleague and friend, David, had an idea that could potentially improve her working conditions. However, he was hesitant to suggest it due to his own doubts about its feasibility.",Michael and Lisa were running a small business and had received an offer from a larger company to buy them out. They needed to discuss their options but wanted to consider all angles before making a decision.,0.12817645,0.13098636,0.14958465,0.15182722
34,34,she called and wants to come over this am,Did Sarah invite herself to our party?,Mom asked me to pick up groceries on my way home.,She called and wants to come over this AM.,high,Do you have any big plans today?,Is now a bad time for me to come over?,high,Sarah was excited about her plans for the weekend. She called Alex and wants to come over this AM.,"Tom had invited Sarah over for breakfast to discuss some business opportunities. However, Sarah called unexpectedly early in the morning, before Tom could make the necessary preparations.",0.28062546,0.14834207,0.24549858,0.23828506
35,35,there is now a meeting at 8pm as well,Are you still available to meet at 7pm today?,I need to schedule a call with John tomorrow.,There is now a meeting at 8PM as well.,high,What's the priority of your current assignment?,Is Thursday at 7PM a good time for us to meet?,high,"Sarah was excited about her new project at work and wanted to discuss it with John. However, John had an unexpected task assigned to him by their boss.","Tom and Sarah were discussing their work schedules for the week. They both noticed that they had a free evening on Thursday. However, they received an email notifying them of an unexpected meeting at 8PM.",0.30173403,0.16025014,0.070848554,0.38085842
36,36,im on my way back there to do so,can you pick me up from the airport?,Can you please fix the printer at work?,I'm on my way back there to do so.,high,Have you seen my phone?,Sarah: How long will it take you to reach my place?,high,"Emma had forgotten her phone at Mark's place, and she was on her way back there to do so. She hoped he would be home when she arrived. Emma needed the phone for an urgent job interview.","Tom had promised Sarah that he would fix the leaky roof at her house before winter. However, unexpected work commitments kept him away. Now, as the first snowfall approached, Tom was on his way back to Sarah's to make good on his promise.",0.25723562,0.15002207,0.14779723,0.23401934
37,37,bound to be some media flack on this,Did you hear about the latest celebrity scandal?,Rumors of a scandal at the city hall.,Bound to be some media flack on this.,high,"Why is it that every time we try to talk about our personal lives, something big breaks?",Did something new come up regarding those allegations?,high,"Jane was trying to reach Mark to discuss their daughter's latest drama. However, he seemed to be busy with something important. As she dialed his number, she wondered if he'd even answer. Bound to be some media flack on this.","During a political rally, John, the mayor, was approached by a reporter about recent allegations against him. Sarah, his campaign manager, was trying to keep things under control.",0.21131125,0.10264231,0.1592313,0.10529357
38,38,neal can you help with this,I'm having trouble with my car's GPS system. Can you explain why it keeps rerouting me?,"Neal, I've encountered an error message on my computer that reads: 'Access denied to file C:\Users\UserName\Documents\file.txt'. Can you help with this?","Neal, can you help with this?",high,I'm not sure how to unscrew this part,Can I get some guidance on this issue?,high,Mark was struggling to fix the broken computer at home. His friend Neal was an expert with electronics and Mark needed his help.,"Neal was working on a project when he encountered a problem that required the expertise of his colleague, Maya. However, she was currently unavailable.",0.19678879,0.28290394,0.14879331,0.015870735
39,39,probably need to check with hr group providing services,Can we provide out-of-office services to non-employees?,John's new project requires different benefits than his current ones.,Probably need to check with HR group providing services.,low,Do you have time to talk about our daughter's problems at school?,Do you know if the catering company offers health insurance benefits for their employees?,low,"Before speaking with Mark about his daughter's recent issues at school, Jane decided to check the company policy on involving parents in such matters. Mark was already engaged in a meeting and might not be available to discuss.","Michael and Lisa were planning a company event. They needed to finalize the budget for the catering service. However, they were unsure if the current vendor provided health insurance benefits for their employees.",0.1593261,0.054338623,0.06552834,0.42148152
40,40,it reads like she is in,the new James Bond movie looks like it's going to be a thrilling ride!,I just finished reading her email.,It reads like she is in.,high,How's your day going so far?,"How's the proposal coming along, Lisa?",high,"Jane was eager to discuss their daughter's recent struggles with Mark. However, he seemed distracted, engrossed in the conversation he was having on his phone. It reads like she is in.",Tom was reading an email from his colleague Lisa regarding their upcoming project proposal. Lisa seemed unusually anxious about the presentation. Tom wondered if she was unwell.,0.110442564,0.10775173,0.1012495,0.12817675
41,41,in a couple of weeks,When can I expect my new laptop to arrive?,When can I expect the delivery of my new laptop?,In a couple of weeks.,high,Will you be able to join me soon?,What are your thoughts about our vacation plans?,high,"Jane and Mark had made plans to go on a vacation together. However, Mark was stuck at work with an urgent project, while Jane was waiting patiently for the project to finish.","Michael had applied for a new job and was expecting the results in a couple of weeks. Lisa wanted to discuss their plans for a vacation, which they had planned around Michael's potential start date.",0.3684153,0.38585705,0.16798976,0.06261674
42,42,has dynegy made a specific request,Dynegy has requested an urgent report on our team's progress.,Dynegy has proposed a new energy project. What's their specific plan?,Has Dynegy made a specific request?,high,I think we should review the terms of the agreement again,What's this email about then?,high,Mark and Jane were discussing their company's recent deal with Dynegy. They needed to confirm some details before making any decisions. Mark had been in touch with the Dynegy team earlier that day.,John and Lisa were business partners in a power plant company called Dynegy. They were discussing their latest project when suddenly John received an email. 'Has Dynegy made a decision about the new power plant location?' Lisa asked.,0.08893821,0.23305163,0.08948027,0.05273515
43,43,i am walking in now,are you already home?,"I see you're at the library, which section are you in now?",I am walking in now.,high,How was your day?,"Hey Tom, have you tried this new baklava I brought?",high,"As she entered the house, Jane was surprised to find Mark already there, having just arrived from work. He looked tired and stressed, but greeted her warmly.","Sophia was waiting at the bus stop for her friend Tom to arrive. She had brought some fresh baklava to share with him. Suddenly, she saw Tom approaching from a distance.",0.25431442,0.25385857,0.12324004,0.1022446
44,44,is this cash coming into tw,when do you expect the money transfer?,I just transferred money into your account,Is this cash coming into TW?,high,Do you think I've been helping enough?,Who might have sent us that transfer?,high,"Samantha was concerned about her friend Emily's recent financial struggles. She had been sending her money to help out, but hadn't heard back recently. Emily worked at a company called TW.","Tom and Wanda were discussing their business finances when they received an unexpected wire transfer. However, they couldn't be sure if the money was coming from a trusted source or not.",0.19916168,0.13509549,0.02423701,0.11169511
45,45,tell her to get my expense report done,Can you remind me to follow up with Sarah regarding our company's financial reports?,The company's annual budget meeting is scheduled for next week.,Tell her to get my expense report done.,high,Do you know when Sarah will be free?,"Hey Susan, do you have a minute to look at this email?",high,"John was busy wrapping up a project at the office. He wanted to discuss some important details with his colleague, Sarah, but she was unavailable and he would have to wait.","Michael asked his assistant Susan to prepare some documents for an important client meeting. As he was going through emails, he noticed one that required her attention immediately.",0.2762206,0.13644046,0.109588176,0.10775369
46,46,i am out of town on business tonight,Are you free to meet up tonight?,I was wondering if you could help me out at the office tonight.,I am out of town on business tonight.,high,What's the address of your new place again?,Is this a good time to talk about our potential partnership?,high,"Samantha was planning to visit her friend Emily at her new apartment tonight. However, Emily mentioned that she had to travel for business.","Tom invited Sara to dinner at his house to discuss some business opportunities. However, Tom had unexpectedly been called out of town for the night.",0.32360357,0.07924607,0.19922753,0.11054432
47,47,we need a process to deal with this,how can we manage our company's data breaches?,The software we're using has crashed and we can't access our project files.,We need a process to deal with this.,high,What's going to happen next?,"What's the best way to tackle this problem, Lisa?",high,"The Smiths were dealing with the aftermath of a devastating fire that had destroyed their home. They were overwhelmed by the sheer amount of damage and the uncertainty about how to rebuild. Emma was trying to sort out the insurance claim, while Ryan was trying to contact the authorities to report the incident. However, they both felt that they needed a process to deal with this.","Mark and Lisa were managing a complex project with multiple teams. An unexpected issue had arisen, requiring their immediate attention. They recognized the need for an organized approach to addressing it.",0.19453046,0.14551854,0.028210264,0.046622735
48,48,im waiting until she comes home,Are you looking forward to her coming home tonight?,Have you heard from Sarah about the party plans?,I'm waiting until she comes home.,high,Do you think we should try talking again?,Is everything all right with the babysitter?,high,"Tom had been thinking about the argument he and his girlfriend, Sarah, had yesterday. He was eager to apologize and make things right. Meanwhile, Sarah was running late from work.","John and Lisa were anticipating the arrival of their babysitter so they could go out for dinner. However, the sitter was running late.",0.3837645,0.18856491,0.06416632,0.22064623
49,49,i have an am doctors appointment,When are you free to meet up?,Have you made any plans for tomorrow morning?,I have an AM doctor's appointment.,high,How's your day looking today?,What time would be good for us to meet for breakfast tomorrow?,high,Sarah and Emily were getting ready for their day. Sarah mentioned she had an early morning doctor's appointment.,"Mike and Lisa were planning to have breakfast together. However, Mike unexpectedly received a call from his doctor, informing him that he had an early morning appointment.",0.251195,0.31251684,0.24277575,0.19006637
50,50,this is the neatest toy i have had,I just got the new robot dog and I think it's amazing!,Have you seen the new robotic vacuum cleaner in action?,This is the neatest toy I have had.,high,How does your new dollhouse compare to all the others?,Have you seen any cool new toys here lately?,high,"Tom and Sarah were excited to show each other their new toys. Tom had received a high-tech robot that could perform various tasks, and Sarah was thrilled with her new dollhouse. As she opened the box, Tom exclaimed, 'This is the neatest toy I have had.'","Tom and Lisa were at the toy store, each choosing their favorite toys. Tom picked up a remote-controlled car, and Lisa found an interactive doll that sang and danced. Tom was surprised by how detailed and lifelike the car's remote control was.",0.14853448,0.21595165,0.19950476,0.29234564
51,51,they are more efficiently pooled,How do you optimize the allocation of resources?,Have you organized the team's tasks effectively this week?,They are more efficiently pooled.,high,How's our joint strategy coming along?,"Have you considered merging some of your project teams, Laura?",high,"After a tough quarter, Sarah and Michael decided to combine their marketing efforts for better results. They are more efficiently pooled.",Tom and Laura were managing large budgets for their respective departments at work. They realized that some resources could be more efficiently used if they collaborated on certain projects.,0.20770356,0.18155146,0.06053085,0.13829146
52,52,i have other things to worry about,Can you really afford that new car?,Your constant procrastination is affecting our project timeline.,I have other things to worry about!,high,Can we delay our trip plans until I'm less stressed?,"Hey Lisa, how have you been lately?",high,"Jane and Mark had been planning their summer vacation for months. However, Jane's work was piling up and she was getting overwhelmed. Meanwhile, Mark was busy finalizing the details of a new project.","Michael and Lisa were both struggling with personal issues. Michael was dealing with financial difficulties, while Lisa's husband had recently left her. One evening, they ran into each other at the grocery store.",0.1521132,0.09449971,0.15530702,0.1527049
53,53,well be in state college around july 4,Are you planning a trip soon?,Have you made travel plans for the upcoming holiday?,We'll be in State College around July 4.,low,What's our itinerary looking like for next month?,Do you know when you'll be arriving in State College?,low,Samantha and Alex were planning their summer vacation. They wanted to visit some of the colleges they had looked at during their senior year. We'll be in State College around July 4.,"Michael and Lisa were planning a road trip to visit their friends in State College. They had arranged to meet them around the Fourth of July. However, they encountered an unexpected detour that may cause them to arrive slightly later.",0.32032597,0.27190936,0.20083255,0.45277047
54,54,i may take the opportunity to run some errands,"I'll be free tomorrow afternoon, do you want to grab some groceries?",Do you want to grab some coffee before we start the project?,I may take the opportunity to run some errands.,high,Are you free tonight?,What time should we meet to finalize the party plans?,high,"Sarah was excited to attend her friend Emily's birthday party. However, she had been putting off some tasks and thought it would be the perfect opportunity.","Tom and Lisa were planning a surprise party for their friend's birthday next weekend. While discussing the details, Tom mentioned he could pick up some balloons on his way home from work. Lisa replied she also needed to buy some groceries after work.",0.33819062,0.24857175,0.26054758,0.18856765
