,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
10,10,i think we are dong ok,Are we on the same page with our project timeline?,Your presentation seems well-prepared,I think we are dong OK.,low,Do you think we'll be able to resolve our issues like this in the future?,Do you think we need to hire more staff for the upcoming season?,low,0.12009488,0.061106592,0.061576217,0.18429372
11,11,not just 1 to 2,do you ever feel like you're stuck in a rut?,How many books do you usually read in a week?,Not just 1 to 2.,high,Do you think we're making progress?,What other solutions might we consider besides going to the pharmacy?,high,0.16464505,0.2536215,0.031311773,0.05645867
12,12,heres the talking points for anngtc,What are the key takeaways from our last meeting?,Have you prepared the presentation for ANNGTC's quarterly report?,Here's the talking points for ANNGTC.,low,Have you given some thought to the ANNGTC agenda?,What are your thoughts on our strategy for the upcoming ANNGTC negotiations?,low,0.12624888,0.15820992,0.11336036,0.14170107
13,13,the filing concerns various scheduling and balancing rules,What are the key rules governing financial transactions?,Have you reviewed the new accounting regulations?,The filing concerns various scheduling and balancing rules.,low,How are you planning to manage your workload?,Can you shed some light on the procedures we need to follow in this quarter's budgeting process?,low,0.39355135,0.24654737,0.32392573,0.21374586
14,14,please send to hartsoe for comment,Can you please review the latest sales figures for our quarterly report?,I've noticed some inconsistencies in the marketing campaign data.,Please send to Hartsoe for comment.,low,Have you seen the latest draft?,Do you have a few minutes to discuss the marketing campaign for the new product? I think we might need to make some adjustments.,low,0.1674824,0.062170267,0.057924584,0.11414136
15,15,thus have nothing to destroy,What lies at the heart of all destruction?,Do you believe in the power of redemption?,Thus have nothing to destroy.,high,Do you think we'll ever recover from this?,Anna: Do you remember our argument about your brother's inheritance?,high,0.26758027,0.13060696,0.022007803,0.10735821
16,16,wish me luck with linda,Will you be going on a date with Linda tonight?,I have an important interview with Linda tomorrow.,Wish me luck with Linda.,high,How's your speech coming along?,I'll be seeing Linda in an hour to discuss my project progress.,high,0.42875937,0.34596413,0.14482298,0.2476643
17,17,can you call me at home,Can we discuss the details of my project over the phone?,I've found an important email from your boss,Can you call me at home?,high,I hope you got the job offer?,Is it possible for us to reschedule our conversation?,high,0.2028306,0.084553376,0.09830315,0.12659252
18,18,please call tomorrow if possible,Can we discuss the meeting agenda for tomorrow?,I'd like to discuss the details of our upcoming project.,Please call tomorrow if possible.,high,Is there a good time to talk about Emily's grades?,May we arrange a call for later today to discuss our project?,high,0.18665622,0.054741092,0.12512961,0.27025467
19,19,i would like to attend if so,can you attend the annual corporate party on friday?,Will the seminar on machine learning be held next month?,I would like to attend if so.,high,Are you almost done with your task?,"Would you be presenting at the seminar, John?",high,0.36478025,0.2907365,0.05974003,0.26143116
20,20,he played goalie almost the entire game,Did Ronaldo play well in the match?,Did Johnson make every save during the soccer match?,He played goalie almost the entire game.,high,How was your day?,"Did you have a good game out there, Tom?",high,0.37024227,0.45115054,0.030753376,0.15668295
21,21,i am in 50m if you need me,"I'm running late for our meeting, can you meet me at the usual spot?",Can you help me find the address of the new library?,I am in 50M if you need me.,high,Did you receive my email about the project timeline?,"Hey Tom, can I ask for a quick favor? My computer is acting up and I'm not sure what to do.",high,0.14930406,0.102701634,0.023100678,0.11701543
22,22,would you mind taking the lead on this,Can you please help me with the agenda for today's meeting?,I've been having trouble understanding this report. Could you please explain it to me?,Would you mind taking the lead on this?,high,Do you think I'm getting this part wrong?,"I've managed to contact several potential sponsors, but I could use your help in securing more.",high,0.093851395,0.024695674,0.016539384,0.11928314
23,23,ill see you thursday october 25,Are you free to meet on Thursday October 25?,Let's meet up to discuss the project proposal next week.,I'll see you Thursday October 25.,low,Have you decided on the hotel we'll be staying at?,"Hey Mike, do you want to reschedule our coffee date this week?",low,0.38158643,0.1492795,0.1500107,0.1806474
24,24,probably can handle monday pm,Do you think I'll have time to wrap up my project by Monday?,Can you help me with the project presentation next Monday afternoon?,Probably can handle Monday PM.,high,Do you think we'll meet our deadline?,Can we reschedule our meeting for Tuesday instead?,high,0.20647685,0.1196571,0.1384315,0.2614131
25,25,i will bring john brindle,Are you bringing the necessary equipment for our meeting?,Have you forgotten to invite John Brindle to the meeting?,I will bring John Brindle.,high,How will this affect our workload?,Will you have all the necessary materials ready for our meeting tomorrow?,high,0.3085995,0.46027386,0.046120323,0.25850803
26,26,need you or john to step out,What's going on with John?,John mentioned he left his keys at your place.,Need you or John to step out.,high,Will you be late again?,"Tom, could we schedule this discussion for later today? I need some time to finish what I'm currently working on.",high,0.2050652,0.21686712,0.10365306,0.118897274
27,27,he would love anything about rocks,Why did you decide to become a geologist?,Have you seen the new geology exhibit at the museum?,He would love anything about rocks.,high,Do you think we'll have enough time at the museum for me to ask Tom about his favorite topics?,"Hey Alex, have you seen these wildflowers around here?",high,0.2703185,0.18869822,0.1965349,0.079562865
28,28,a bit behind on my emails,Did you receive my work email?,Have you finished processing that report?,A bit behind on my emails.,high,Do you think we'll be able to finalize the project plan on time?,"Hey Anna, I'd like to go over some things regarding the project, if you have a moment.",high,0.27014935,0.13413948,0.11737124,0.108241014
29,29,then we can go to zainy brainy,where do you want to go for dinner?,Let's discuss some complex concepts. I believe the human brain is capable of incredible feats.,Then we can go to Zainy Brainy.,high,Do you want to grab a coffee with me?,Shall we check out the toy section at the mall?,high,0.24020255,0.18408866,0.1708385,0.16936752
30,30,hope your trip to florida was good,How was your trip to Florida?,I just got back from the Miami heat game.,Hope your trip to Florida was good.,high,How was the weather while you were away?,Did you enjoy your time at the theme parks?,high,0.52599394,0.18482369,0.28599584,0.2982924
31,31,what is your issue sir,"My laptop is not turning on, what could be the issue?",The software you developed crashes every time I use it.,What is your issue sir?,high,What's going on with Mary and her teacher?,I believe we need to address the issue of the new science lab.,high,0.23374937,0.11213859,0.14922357,0.062052175
32,32,i told gary you could make the call,Can I make the call to reschedule?,John asked if you could handle the project's budgeting.,I told Gary you could make the call.,high,What do you think of this new proposal?,"Gary, this is Lisa. How can I help you today?",high,0.18255079,0.16795473,0.07950669,0.22323748
33,33,i think we should consider this request,Have you considered our financial situation before making that purchase?,Have you heard about the new company policy on employee benefits?,I think we should consider this request.,high,What do you think is holding you back from sharing your idea?,What do you think about the offer we received from the larger company?,high,0.12817645,0.13098636,0.14801851,0.14292403
34,34,she called and wants to come over this am,Did Sarah invite herself to our party?,Mom asked me to pick up groceries on my way home.,She called and wants to come over this AM.,high,Do you have any big plans today?,Is now a bad time for me to come over?,high,0.28062546,0.14834207,0.24325934,0.23508632
35,35,there is now a meeting at 8pm as well,Are you still available to meet at 7pm today?,I need to schedule a call with John tomorrow.,There is now a meeting at 8PM as well.,high,What's the priority of your current assignment?,Is Thursday at 7PM a good time for us to meet?,high,0.30173403,0.16025014,0.09065533,0.3751727
36,36,im on my way back there to do so,can you pick me up from the airport?,Can you please fix the printer at work?,I'm on my way back there to do so.,high,Have you seen my phone?,Sarah: How long will it take you to reach my place?,high,0.25723562,0.15002207,0.14674202,0.23096496
37,37,bound to be some media flack on this,Did you hear about the latest celebrity scandal?,Rumors of a scandal at the city hall.,Bound to be some media flack on this.,high,"Why is it that every time we try to talk about our personal lives, something big breaks?",Did something new come up regarding those allegations?,high,0.21131125,0.10264231,0.15158507,0.09708795
38,38,neal can you help with this,I'm having trouble with my car's GPS system. Can you explain why it keeps rerouting me?,"Neal, I've encountered an error message on my computer that reads: 'Access denied to file C:\Users\UserName\Documents\file.txt'. Can you help with this?","Neal, can you help with this?",high,I'm not sure how to unscrew this part,Can I get some guidance on this issue?,high,0.19678879,0.28290394,0.16067907,0.015888741
39,39,probably need to check with hr group providing services,Can we provide out-of-office services to non-employees?,John's new project requires different benefits than his current ones.,Probably need to check with HR group providing services.,low,Do you have time to talk about our daughter's problems at school?,Do you know if the catering company offers health insurance benefits for their employees?,low,0.1593261,0.054338623,0.069818825,0.39373964
40,40,it reads like she is in,the new James Bond movie looks like it's going to be a thrilling ride!,I just finished reading her email.,It reads like she is in.,high,How's your day going so far?,"How's the proposal coming along, Lisa?",high,0.110442564,0.10775173,0.11245909,0.12773295
41,41,in a couple of weeks,When can I expect my new laptop to arrive?,When can I expect the delivery of my new laptop?,In a couple of weeks.,high,Will you be able to join me soon?,What are your thoughts about our vacation plans?,high,0.3684153,0.38585705,0.1564505,0.06151717
42,42,has dynegy made a specific request,Dynegy has requested an urgent report on our team's progress.,Dynegy has proposed a new energy project. What's their specific plan?,Has Dynegy made a specific request?,high,I think we should review the terms of the agreement again,What's this email about then?,high,0.08893821,0.23305163,0.09061978,0.05552225
43,43,i am walking in now,are you already home?,"I see you're at the library, which section are you in now?",I am walking in now.,high,How was your day?,"Hey Tom, have you tried this new baklava I brought?",high,0.25431442,0.25385857,0.13167411,0.1052091
44,44,is this cash coming into tw,when do you expect the money transfer?,I just transferred money into your account,Is this cash coming into TW?,high,Do you think I've been helping enough?,Who might have sent us that transfer?,high,0.19916168,0.13509549,0.025976341,0.11426704
45,45,tell her to get my expense report done,Can you remind me to follow up with Sarah regarding our company's financial reports?,The company's annual budget meeting is scheduled for next week.,Tell her to get my expense report done.,high,Do you know when Sarah will be free?,"Hey Susan, do you have a minute to look at this email?",high,0.2762206,0.13644046,0.10867987,0.10475219
46,46,i am out of town on business tonight,Are you free to meet up tonight?,I was wondering if you could help me out at the office tonight.,I am out of town on business tonight.,high,What's the address of your new place again?,Is this a good time to talk about our potential partnership?,high,0.32360357,0.07924607,0.21433409,0.11775074
47,47,we need a process to deal with this,how can we manage our company's data breaches?,The software we're using has crashed and we can't access our project files.,We need a process to deal with this.,high,What's going to happen next?,"What's the best way to tackle this problem, Lisa?",high,0.19453046,0.14551854,0.03042743,0.040546052
48,48,im waiting until she comes home,Are you looking forward to her coming home tonight?,Have you heard from Sarah about the party plans?,I'm waiting until she comes home.,high,Do you think we should try talking again?,Is everything all right with the babysitter?,high,0.3837645,0.18856491,0.070263326,0.21256979
49,49,i have an am doctors appointment,When are you free to meet up?,Have you made any plans for tomorrow morning?,I have an AM doctor's appointment.,high,How's your day looking today?,What time would be good for us to meet for breakfast tomorrow?,high,0.251195,0.31251684,0.22892492,0.20403638
50,50,this is the neatest toy i have had,I just got the new robot dog and I think it's amazing!,Have you seen the new robotic vacuum cleaner in action?,This is the neatest toy I have had.,high,How does your new dollhouse compare to all the others?,Have you seen any cool new toys here lately?,high,0.14853448,0.21595165,0.19731261,0.2798218
51,51,they are more efficiently pooled,How do you optimize the allocation of resources?,Have you organized the team's tasks effectively this week?,They are more efficiently pooled.,high,How's our joint strategy coming along?,"Have you considered merging some of your project teams, Laura?",high,0.20770356,0.18155146,0.060183346,0.12342722
52,52,i have other things to worry about,Can you really afford that new car?,Your constant procrastination is affecting our project timeline.,I have other things to worry about!,high,Can we delay our trip plans until I'm less stressed?,"Hey Lisa, how have you been lately?",high,0.1521132,0.09449971,0.15078577,0.1440312
53,53,well be in state college around july 4,Are you planning a trip soon?,Have you made travel plans for the upcoming holiday?,We'll be in State College around July 4.,low,What's our itinerary looking like for next month?,Do you know when you'll be arriving in State College?,low,0.32032597,0.27190936,0.19446339,0.47424203
54,54,i may take the opportunity to run some errands,"I'll be free tomorrow afternoon, do you want to grab some groceries?",Do you want to grab some coffee before we start the project?,I may take the opportunity to run some errands.,high,Are you free tonight?,What time should we meet to finalize the party plans?,high,0.33819062,0.24857175,0.26160032,0.1971876
55,55,i didnt understand we were borrowing them,where did we leave the neighbours' tools?,Can I borrow your textbooks for the exam?,I didn't understand we were borrowing them.,high,Why did your parents decide to get rid of all these old pieces?,"Hey Lisa, I found a buyer for your old books",high,0.27817994,0.30953348,0.16780958,0.10397791
56,56,can we go to 150150 with foster,I'm thinking of getting tickets to the Foster's concert,Foster suggested we meet at his office at 3 PM. What do you think?,Can we go to 150/150 with Foster?,low,Have you finished that big task with Foster?,"Can we finalize the arrangements for our latest project's investments, Tom?",low,0.14683333,0.23662604,0.23602554,0.19368446
57,57,thats another hole in the ny trip,Are we going to visit the Met in New York?,I found a deal on flights to New York,That's another hole in the NY trip.,low,How was your day so far?,Have we set a definite date for our NY trip?,low,0.27772132,0.19714433,0.08442331,0.2729701
58,58,i want to thank everyone involved,thank you for the incredible effort put forth by everyone on our project,The team's hard work paid off with an impressive project launch.,I want to thank everyone involved.,high,What's going on? Why aren't you with me?,Do you ever think about acknowledging the contributions of Carol and Tom at the last event?,high,0.12870625,0.079852134,0.053613123,0.14588547
59,59,what period does the max rate assumption cover,What is the maximum rate for my credit card?,I'm considering applying for a mortgage with a high interest rate. What period does the max rate assumption cover?,What period does the max rate assumption cover?,low,Can we discuss the project timeline?,What should be our long-term investment approach?,low,0.39844152,0.6860726,0.082334116,0.19630149
60,60,forward it in to steve for approval,can you confirm receipt of the new marketing report?,John suggested we use the new marketing strategy for the upcoming campaign.,Forward it in to Steve for approval.,low,Is everything okay? You seem distracted.,Can I discuss the new project proposal with you?,low,0.13487166,0.111708656,0.05583967,0.093982436
61,61,producers reacting to price management,How do companies deal with fluctuations in raw material prices?,Have you adjusted production levels to meet the new market demand?,Producers reacting to price management.,low,How are we going to stay competitive with these new prices?,What do you think we should do about the sudden drop in prices?,low,0.430466,0.27999833,0.25018126,0.28802785
62,62,just wanted to touch base,Is the meeting still scheduled for tomorrow?,Have we scheduled the team meeting for next week?,Just wanted to touch base.,high,How's the trip going?,"Hey Lisa, I wanted to go over some of the data points for our project",high,0.11832702,0.116180986,0.13004248,0.070522934
63,63,thanks again for your help,What's the best way to improve my English vocabulary?,I've found the solution to your problem.,Thanks again for your help.,high,I'm so relieved the car is fixed!,Jane came to my office today to talk about something.,high,0.18483332,0.049676634,0.038484722,0.026618166
64,64,could you try ringing her,Have you spoken to Sarah about the project deadline?,I can't reach her on WhatsApp.,Could you try ringing her?,high,Do you think a conversation with your wife will be helpful in this situation?,Do you know where I can find this brand of handbag in town?,high,0.16776955,0.45423663,0.104816236,0.22811273
65,65,you didnt answer me about driving tomorrow,can i borrow your car for tomorrow?,I'll pick you up at 6 PM tomorrow for our appointment.,You didn't answer me about driving tomorrow.,low,Did you finish that project?,Can I count on you for a ride tomorrow morning?,low,0.2870608,0.18174331,0.10105017,0.25332308
66,66,do you need it today,can you lend me your laptop charger?,I need to buy some medicine for my cold,Do you need it today?,high,Can I take some time off work to help with the move?,Which size of drill bit would you recommend?,high,0.25042832,0.22259033,0.13563202,0.15697038
67,67,i thought you were on 6,where are you right now?,I'll be at the library after work.,I thought you were on 6.,high,Have you seen my presentation slides?,Did you overshoot the bus stop?,high,0.1611717,0.10485138,0.08274533,0.10067515
68,68,will call later to explain,Can you explain the reason behind your recent absence?,I found an unusual mark on the wall in your office.,Will call later to explain.,high,Why is your boss not cooperating?,Can we arrange a time this week to discuss the terms of the loan?,high,0.27327114,0.06316398,0.24401557,0.24837902
69,69,the contract is a bit complicated,can you clarify the terms of our agreement?,Have you fully understood the terms and conditions of the agreement?,The contract is a bit complicated.,high,Do you think we can finalize everything today?,Can you explain this part of the contract to me again?,high,0.17130145,0.25594723,0.08908094,0.24938492
70,70,steve gilbert is working on this,who is responsible for resolving our technical issues?,Have you heard the latest news about the project's database issue?,Steve Gilbert is working on this.,high,Do you think we can salvage this part?,"Sarah: Hi Steve, I'm having trouble accessing some of the data we need for the campaign. Could you take a look?",high,0.1262006,0.14457919,0.038979996,0.11007267
71,71,there will be some better news later today,"I didn't get the job, why did I get rejected?",I received some disappointing news from my doctor today.,There will be some better news later today,low,Do you have any idea what this meeting is about?,Why don't we reschedule this lunch for another day?,low,0.13855772,0.09871712,0.10967535,0.13362823
72,72,there are several business issues outstanding,Have you reviewed the quarterly financial reports?,Have you finalized the marketing budget for next quarter?,There are several business issues outstanding.,high,Can we start addressing these problems today?,Is now a good time for us to discuss the terms of our agreement?,high,0.2256374,0.16169214,0.07540544,0.10447417
73,73,i will be thinking of you,I'll be missing you tomorrow when we're apart,I'm thinking of you in my prayers today,I will be thinking of you.,high,Do you remember our old apartment?,I've been thinking about you lately,high,0.16983536,0.25177026,0.10569437,0.24176456
74,74,john this message concerns me,I'm worried about your recent health issues,Have you seen the latest news about John's project?,John this message concerns me.,high,Have you seen my dog Max wandering around?,Have you had a chance to look at the latest financial report?,high,0.099396095,0.1728053,0.15296014,0.088020116
75,75,let me know if i miss anything,can you send me the meeting agenda?,I've prepared a detailed project proposal for next quarter.,Let me know if I miss anything.,low,Have you double-checked the flight schedule?,Shall we go over the last slide together?,low,0.15520124,0.06718949,0.14840153,0.10140984
76,76,call me to give me a heads up,"I'm heading to the meeting at 3 pm, are you ready?",I've found an unexpected error in the project.,Call me to give me a heads up.,high,"I'm heading out soon, is everything okay with Mary?","I've got some exciting news regarding the party planning, but I think it would be best if you give me a heads up before we discuss it further.",high,0.19464943,0.07123871,0.15980434,0.18992624
77,77,and leave my school alone,Are you going to vandalize my school's library again?,Your constant bullying at school has to stop.,And leave my school alone.,high,Do you know if Tom's concerns are related to the recent changes in the curriculum?,"I remember we had some great times together back in high school, can we catch up?",high,0.22851421,0.17878598,0.08793758,0.12649423
78,78,we will have some good detail by january 7,Have you received the financial report we requested?,Have you received the latest market research report?,We will have some good detail by January 7.,high,What's the current status on our project timeline?,Do you have any updates on the status of our deal with the new client?,high,0.18607154,0.1359725,0.16752261,0.24928407
79,79,what is in the plan,I'm really excited about the upcoming conference,I've prepared a detailed project proposal for our team meeting next week.,What is in the plan?,high,Have we finalized everything for our trip?,How about we decide on the food options for the party?,high,0.08840387,0.122650295,0.16281731,0.16871688
80,80,do you and george have a thing going,I think George might be hiding something from us,I saw you and George looking quite cozy at the party last night.,Do you and George have a thing going?,high,"Ryan, I've noticed our team is really productive when we work together.",I've noticed we've been spending a lot of time together lately. How's work going with George?,high,0.17142317,0.22663681,0.075372845,0.23183505
81,81,if this has already been covered then i apologize,can you confirm the meeting time for tomorrow?,Have we discussed the possible causes of the recent system error?,"If this has already been covered, then I apologize.",low,Have you seen the latest updates on the project?,"Hey Lisa, I think we need to talk about the design of the new homepage",low,0.13211556,0.09936476,0.07824403,0.10254361
82,82,anything exciting going on today,I just got tickets to see my favorite band tonight!,I just got offered a new job opportunity,Anything exciting going on today?,high,Have you finished your tasks for today?,Have you heard from John yet about the party?,high,0.14915368,0.12775321,0.25368488,0.12836735
83,83,budget allocation from glisan has been postponed,Can you please confirm the meeting schedule for Q3 budget review?,Have you received the latest update on the funding from Glisan?,Budget allocation from Glisan has been postponed.,low,Do you think we'll receive your numbers in time?,"Hi Lisa, have we made any progress on securing the necessary funding from Glisan?",low,0.3049097,0.31176537,0.082728684,0.27872837
84,84,will you and kb be around this afternoon,Are you free to grab lunch with me and KB today?,Let's plan a get-together at KB's place this weekend.,Will you and KB be around this afternoon?,high,Is there still time for you to discuss the project?,"The market is open till late, wouldn't it be nice to go together?",high,0.40278837,0.19629034,0.1482355,0.16831976
85,85,im looking forward to the long weekend,The long weekend is finally here!,I've planned a fun BBQ for the long weekend!,I'm looking forward to the long weekend!,low,Have you finalized our itinerary?,"Hey Lisa, have you started packing for our camping trip yet?",low,0.12321128,0.12037182,0.11807388,0.22803488
86,86,do we need to do anything here,are we on the same page about our project deadline?,The batteries in the smoke detectors are beeping.,Do we need to do anything here?,high,Mark seems really preoccupied today,What do you think we should make of these markings?,high,0.09400821,0.15978867,0.067833744,0.07703394
87,87,900 am every second saturday with michelle,When are we meeting for our regular team gathering?,Let's plan our next hiking adventure.,9:00 AM every second Saturday with Michelle.,low,Do you think the weather will be good for our hike?,"How about we meet for lunch instead, this week?",low,0.23823497,0.04271415,0.010489812,0.10790099
88,88,i wont be home until 6,Can you pick me up from work at 5?,I hoped we could meet after work today,I won't be home until 6.,high,Have you finished your work for today?,Is it convenient for me to come over and lend a hand with the moving boxes later?,high,0.34325916,0.13892856,0.28443453,0.22615452
89,89,i am fine with this,can we finalize the plans for our weekend trip?,I'd like us to use the old marketing strategy again.,I am fine with this.,high,Are you almost done with your call?,Is there a place where we won't encounter many bugs on our camping trip?,high,0.12799428,0.046887424,0.08493035,0.14305127
90,90,jane what about this thursday for lunch,Do you have any plans for Thursday?,I'd like to suggest we meet up next week for catch-up.,"Jane, what about this Thursday for lunch?",high,Do you think we'll be able to enjoy the beach?,Which day next week suits you best for lunch? I was thinking Thursday.,high,0.29686993,0.18948162,0.12634227,0.48992196
91,91,will 2pm et work for you,When are you free to meet?,Let's meet next week to discuss the project proposal.,Will 2PM ET work for you?,high,Do you have any availability this afternoon?,"How about we schedule our call for this afternoon, Lisa?",high,0.2301812,0.10160971,0.36341998,0.22251248
92,92,what is happening to the stock price,The Dow Jones just plummeted 500 points today.,The tech sector is experiencing significant volatility today.,What is happening to the stock price?,high,You look like you're not having a great day today,What's your take on this new project I've been considering?,high,0.33371663,0.22002545,0.052819673,0.02623972
93,93,once you do you can never go back,Have you ever felt trapped in a situation?,Do you ever feel like making a drastic life change?,"Once you do, you can never go back.",high,Do you ever think about going back?,"Lisa, I need to confess something to you.",high,0.12563421,0.19436657,0.248677,0.05661269
94,94,can you help with this one,can you recommend a good restaurant near me?,The instructions for assembling this new table are quite confusing.,Can you help with this one?,high,I've been trying to figure this out for hours,Do you have any suggestions on how to solve this problem?,high,0.18560624,0.0955043,0.024332915,0.025301702
95,95,are you going to apply,the job posting says the application deadline is soon,have you considered applying for the engineering scholarship?,Are you going to apply?,high,I think we should look into the requirements before deciding what to do.,Shall we submit our applications together?,high,0.13831098,0.2550213,0.053827073,0.17578611
96,96,good to know that the ferc cares,The Federal Energy Regulatory Commission has approved the construction of a new pipeline.,The FERC has announced new regulations for hydroelectric power plants.,Good to know that the FERC cares!,low,How did you find out about their investigation?,Have you received any updates regarding our electricity bill issue?,low,0.138279,0.21518642,0.09223237,0.19064417
97,97,ava please put me on the list,can you make it to the concert tonight?,I'd like to attend the upcoming workshop.,"Ava, please put me on the list.",high,Do you think there's any way we can still get registered?,"Hey Ava, I'd love to help out with the charity event. Can I sign up for a shift?",high,0.1547024,0.10882209,0.07455702,0.28023046
98,98,suggest you get facts before judging anyone,I've been judging people without knowing their true intentions.,you're wrong about that person,Suggest you get facts before judging anyone.,high,Have you considered going bankrupt with your new venture?,Tom: I think it's best if we keep our dogs separated in the garden from now on.,high,0.15971133,0.057013273,0.12339713,0.09086389
99,99,i am now officially a blackberry addict,have you ever tried to quit using BBM?,Have you tried the new Blackberry messenger features?,I am now officially a Blackberry addict.,high,How's your detox process going?,"Lisa: Hey Mike, I heard from Anne that she's having some financial problems. Would you be able to help her out?",high,0.44040257,0.46094853,0.10789795,0.08173643
100,100,have i mentioned how much i love houston traffic,I'm stuck in traffic on I-10,Have you seen the new art exhibit in town?,Have I mentioned how much I love Houston traffic?,high,Do you think we'll ever get out of this city's rush hour?,What's making you so happy in this traffic?,high,0.29542717,0.1270369,0.26502848,0.3556404
101,101,take what you can get,I'm running out of storage on my phone. Can I download more data?,"I found an old recipe book in the attic, do you want to take a look?",Take what you can get.,high,"You're still looking for a job, aren't you?",What's your best offer for the antique table?,high,0.19583263,0.09257701,0.10693303,0.17933449
102,102,should systems manage the migration,Are we ready to migrate our database infrastructure?,The EU is planning to move several IT systems to the cloud. Do you think we should outsource this task?,Should systems manage the migration?,high,I think we need a more streamlined approach for our international transfers.,"What's your opinion on how we should approach this transition, considering the complexities involved?",high,0.40817422,0.44925958,0.2193195,0.12342829
103,103,shelley making good use of my jury duty time,How do you make the most of your jury duty time?,Have you finished reading 'To Kill a Mockingbird'?,Shelley (making good use of my jury duty time),low,Do you think we'll get a verdict today?,What's your recommendation for a new novel to read?,low,0.3986794,0.17794043,0.104517944,0.23004909
104,104,i think that is the right answer,who painted the ceiling of the sistine chapel?,What is the capital city of France?,I think that is the right answer.,high,Do you really think your plan will work?,What do you think about investing our savings in this tech company?,high,0.20730475,0.23707467,0.061193835,0.14843038
105,105,next time ask jim to call me,Can you remind me what's on your schedule for tomorrow?,I need your expert advice on this legal matter.,Next time ask Jim to call me.,high,Why did you miss my call yesterday?,Is Jim the best person to speak with regarding that new project?,high,0.15690938,0.05426151,0.26689005,0.25177667
106,106,target customers munis wapa bpa,Why do companies prioritize customer segmentation?,Who are the primary utility companies in Pennsylvania?,"Target customers: Munis, Wapa, BPA.",low,How's the project coming along?,"Hey Lisa, have you had any recent success in expanding our customer base in the municipal sector?",low,0.31574124,0.29671305,0.04884781,0.1725195
107,107,can i meet with you at 400,I need to discuss the project deadline with you,I need to discuss some important business matters with you.,Can I meet with you at 4:00?,low,Have you found a solution to your absence?,May I have a few minutes of your time later today to go over some project details?,low,0.08695483,0.07238653,0.11292513,0.0868753
108,108,im glad you liked it,I just watched the new Marvel movie and I loved it!,I've finished reading your novel. What did you think of it?,I'm glad you liked it.,high,What do you think of my artwork?,May I show you something I made lately?,high,0.17572862,0.26177835,0.18376055,0.032861803
109,109,ive never worked with her,Have you seen the latest project report from Sarah?,Have you met the new project manager?,I've never worked with her.,high,How do you approach team building in your projects?,"Hey Tom, I've been looking forward to working with you on this project.",high,0.1502431,0.23252407,0.17433009,0.104643084
