original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s
chris foster is in,I just saw Chris Foster's latest presentation on AI innovation!,Have you heard the latest news about the team's new coach?,Chris Foster is in!,high
i have none,can you spare some change?,Do you have any ripe bananas?,I have none.,high
no but thanks,are you free to meet up for coffee tomorrow?,Do you have the latest novel by J.K. Rowling?,"No, but thanks.",high
they are more efficiently pooled,How do you optimize the allocation of resources?,Have you organized the team's tasks effectively this week?,They are more efficiently pooled.,high
i have other things to worry about,Can you really afford that new car?,Your constant procrastination is affecting our project timeline.,I have other things to worry about!,high
well be in state college around july 4,Are you planning a trip soon?,Have you made travel plans for the upcoming holiday?,We'll be in State College around July 4.,low
i may take the opportunity to run some errands,"I'll be free tomorrow afternoon, do you want to grab some groceries?",Do you want to grab some coffee before we start the project?,I may take the opportunity to run some errands.,high
i didnt understand we were borrowing them,where did we leave the neighbours' tools?,Can I borrow your textbooks for the exam?,I didn't understand we were borrowing them.,high
can we go to 150150 with foster,I'm thinking of getting tickets to the Foster's concert,Foster suggested we meet at his office at 3 PM. What do you think?,Can we go to 150/150 with Foster?,low
thats another hole in the ny trip,Are we going to visit the Met in New York?,I found a deal on flights to New York,That's another hole in the NY trip.,low
i want to thank everyone involved,thank you for the incredible effort put forth by everyone on our project,The team's hard work paid off with an impressive project launch.,I want to thank everyone involved.,high
what period does the max rate assumption cover,What is the maximum rate for my credit card?,I'm considering applying for a mortgage with a high interest rate. What period does the max rate assumption cover?,What period does the max rate assumption cover?,low
forward it in to steve for approval,can you confirm receipt of the new marketing report?,John suggested we use the new marketing strategy for the upcoming campaign.,Forward it in to Steve for approval.,low
producers reacting to price management,How do companies deal with fluctuations in raw material prices?,Have you adjusted production levels to meet the new market demand?,Producers reacting to price management.,low
just wanted to touch base,Is the meeting still scheduled for tomorrow?,Have we scheduled the team meeting for next week?,Just wanted to touch base.,high
thanks again for your help,What's the best way to improve my English vocabulary?,I've found the solution to your problem.,Thanks again for your help.,high
could you try ringing her,Have you spoken to Sarah about the project deadline?,I can't reach her on WhatsApp.,Could you try ringing her?,high
you didnt answer me about driving tomorrow,can i borrow your car for tomorrow?,I'll pick you up at 6 PM tomorrow for our appointment.,You didn't answer me about driving tomorrow.,low
do you need it today,can you lend me your laptop charger?,I need to buy some medicine for my cold,Do you need it today?,high
i thought you were on 6,where are you right now?,I'll be at the library after work.,I thought you were on 6.,high
will call later to explain,Can you explain the reason behind your recent absence?,I found an unusual mark on the wall in your office.,Will call later to explain.,high
joel will handle this,Can you please escalate this technical issue to Joel?,There seems to be an issue with the finance reports,Joel will handle this.,high
the contract is a bit complicated,can you clarify the terms of our agreement?,Have you fully understood the terms and conditions of the agreement?,The contract is a bit complicated.,high
steve gilbert is working on this,who is responsible for resolving our technical issues?,Have you heard the latest news about the project's database issue?,Steve Gilbert is working on this.,high
there will be some better news later today,"I didn't get the job, why did I get rejected?",I received some disappointing news from my doctor today.,There will be some better news later today,low
what is going on,I just saw the most incredible sunset on our beach vacation!,I see smoke coming from your roof.,What is going on?,high
make the move,Are you ready to take our relationship to the next level?,The market trends for next quarter seem unfavorable. What's your take?,Make the move.,high
keep me posted,Did I win the competition yesterday?,Have you received the latest project report?,Keep me posted!,high
there are several business issues outstanding,Have you reviewed the quarterly financial reports?,Have you finalized the marketing budget for next quarter?,There are several business issues outstanding.,high
i will be thinking of you,I'll be missing you tomorrow when we're apart,I'm thinking of you in my prayers today,I will be thinking of you.,high
who is this,who was the winner of the last football match?,Can you identify the author of 'To Kill a Mockingbird'?,Who is this?,high
john this message concerns me,I'm worried about your recent health issues,Have you seen the latest news about John's project?,John this message concerns me.,high
did we plan that,are we meeting at the usual spot tomorrow?,Let's meet at the usual place tonight,Did we plan that?,high
let me know if i miss anything,can you send me the meeting agenda?,I've prepared a detailed project proposal for next quarter.,Let me know if I miss anything.,low
call me to give me a heads up,"I'm heading to the meeting at 3 pm, are you ready?",I've found an unexpected error in the project.,Call me to give me a heads up.,high
and leave my school alone,Are you going to vandalize my school's library again?,Your constant bullying at school has to stop.,And leave my school alone.,high
i will be there,are you coming to the party tonight?,Will you meet me at the usual spot by the park entrance at 6 PM?,I will be there.,high
we will have some good detail by january 7,Have you received the financial report we requested?,Have you received the latest market research report?,We will have some good detail by January 7.,high
what is in the plan,I'm really excited about the upcoming conference,I've prepared a detailed project proposal for our team meeting next week.,What is in the plan?,high
ill get you details,What are the timings for our team meeting on Friday?,Have you checked the latest stock prices for Apple Inc.?,I'll get you details.,low
do you and george have a thing going,I think George might be hiding something from us,I saw you and George looking quite cozy at the party last night.,Do you and George have a thing going?,high
if this has already been covered then i apologize,can you confirm the meeting time for tomorrow?,Have we discussed the possible causes of the recent system error?,"If this has already been covered, then I apologize.",low
anything exciting going on today,I just got tickets to see my favorite band tonight!,I just got offered a new job opportunity,Anything exciting going on today?,high
budget allocation from glisan has been postponed,Can you please confirm the meeting schedule for Q3 budget review?,Have you received the latest update on the funding from Glisan?,Budget allocation from Glisan has been postponed.,low
will you and kb be around this afternoon,Are you free to grab lunch with me and KB today?,Let's plan a get-together at KB's place this weekend.,Will you and KB be around this afternoon?,high
im looking forward to the long weekend,The long weekend is finally here!,I've planned a fun BBQ for the long weekend!,I'm looking forward to the long weekend!,low
do we need to do anything here,are we on the same page about our project deadline?,The batteries in the smoke detectors are beeping.,Do we need to do anything here?,high
could you resend,can you please send me your availability for the meeting?,Can you explain the intricacies of quantum physics?,Could you resend?,high
900 am every second saturday with michelle,When are we meeting for our regular team gathering?,Let's plan our next hiking adventure.,9:00 AM every second Saturday with Michelle.,low
i wont be home until 6,Can you pick me up from work at 5?,I hoped we could meet after work today,I won't be home until 6.,high
because there is traffic,Why am I stuck in traffic?,Are you on your way to the meeting?,Because there is traffic.,high
i am fine with this,can we finalize the plans for our weekend trip?,I'd like us to use the old marketing strategy again.,I am fine with this.,high
jane what about this thursday for lunch,Do you have any plans for Thursday?,I'd like to suggest we meet up next week for catch-up.,"Jane, what about this Thursday for lunch?",high
call me asap,Have you received the package yet?,The stock market has crashed. Which investments should I focus on now?,Call me ASAP.,high
will 2pm et work for you,When are you free to meet?,Let's meet next week to discuss the project proposal.,Will 2PM ET work for you?,high
what is happening to the stock price,The Dow Jones just plummeted 500 points today.,The tech sector is experiencing significant volatility today.,What is happening to the stock price?,high
once you do you can never go back,Have you ever felt trapped in a situation?,Do you ever feel like making a drastic life change?,"Once you do, you can never go back.",high
can you help with this one,can you recommend a good restaurant near me?,The instructions for assembling this new table are quite confusing.,Can you help with this one?,high
are you going to apply,the job posting says the application deadline is soon,have you considered applying for the engineering scholarship?,Are you going to apply?,high
good to know that the ferc cares,The Federal Energy Regulatory Commission has approved the construction of a new pipeline.,The FERC has announced new regulations for hydroelectric power plants.,Good to know that the FERC cares!,low
i am almost speechless,Did you just propose to me in front of all our friends?,Did you read Hemingway's 'The Old Man and the Sea'?,I am almost speechless.,high
ava please put me on the list,can you make it to the concert tonight?,I'd like to attend the upcoming workshop.,"Ava, please put me on the list.",high
suggest you get facts before judging anyone,I've been judging people without knowing their true intentions.,you're wrong about that person,Suggest you get facts before judging anyone.,high
i am now officially a blackberry addict,have you ever tried to quit using BBM?,Have you tried the new Blackberry messenger features?,I am now officially a Blackberry addict.,high
have i mentioned how much i love houston traffic,I'm stuck in traffic on I-10,Have you seen the new art exhibit in town?,Have I mentioned how much I love Houston traffic?,high
take what you can get,I'm running out of storage on my phone. Can I download more data?,"I found an old recipe book in the attic, do you want to take a look?",Take what you can get.,high
should systems manage the migration,Are we ready to migrate our database infrastructure?,The EU is planning to move several IT systems to the cloud. Do you think we should outsource this task?,Should systems manage the migration?,high
shelley making good use of my jury duty time,How do you make the most of your jury duty time?,Have you finished reading 'To Kill a Mockingbird'?,Shelley (making good use of my jury duty time),low
need before board meeting,Are you prepared for our quarterly review?,Do we have the latest sales figures?,Need before board meeting.,high
i think that is the right answer,who painted the ceiling of the sistine chapel?,What is the capital city of France?,I think that is the right answer.,high
next time ask jim to call me,Can you remind me what's on your schedule for tomorrow?,I need your expert advice on this legal matter.,Next time ask Jim to call me.,high
target customers munis wapa bpa,Why do companies prioritize customer segmentation?,Who are the primary utility companies in Pennsylvania?,"Target customers: Munis, Wapa, BPA.",low
can i meet with you at 400,I need to discuss the project deadline with you,I need to discuss some important business matters with you.,Can I meet with you at 4:00?,low
im glad you liked it,I just watched the new Marvel movie and I loved it!,I've finished reading your novel. What did you think of it?,I'm glad you liked it.,high
this looks fine,Did you receive the new design for our company's logo?,Have you finished preparing the budget report for next quarter?,This looks fine.,high
ive never worked with her,Have you seen the latest project report from Sarah?,Have you met the new project manager?,I've never worked with her.,high
get with mary for format,What's the format for submitting my report?,Have you seen the new Mary Poppins movie yet?,Get with Mary for format.,high
explain versus redo,why did the software update fail?,Have you finished encoding the new algorithm?,Explain versus redo.,high
i hope you are feeling better,I've been feeling quite under the weather lately.,"I've been sick for days, do you think it's the flu?",I hope you are feeling better.,high
im glad she likes her tree,Did Sarah finally get the new tree she was eyeing?,Sara showed her friend the garden they planted last week.,I'm glad she likes her tree.,high
are you getting all the information you need,can you provide the details of my insurance policy?,I see you've ordered a new laptop.,Are you getting all the information you need?,high
have a great trip,I've finally booked my flights for the weekend getaway!,I'm leaving for my vacation in Bali tomorrow.,Have a great trip.,high
tried reaching you earlier,Did you get the meeting notes from yesterday?,Can we discuss the budget for next month?,Tried reaching you earlier.,high
i would expect an answer asap,Are we on track to meet the deadline for the project?,Have you finished reviewing the financial reports for Q3?,I would expect an answer ASAP.,high
i think your outlined measures sound fine,I've outlined some measures to reduce office noise and improve productivity. What do you think?,Have you considered implementing a two-step verification process for our company's email accounts?,I think your outlined measures sound fine.,high
did you talk to ava this morning,I need to know what's going on with the new project timeline.,I saw her reading Ava's diary this morning,Did you talk to Ava this morning?,high
we have lots of paper stuff,I'm stuck with all these forms to fill out,Do you have many documents or files to organize?,We have lots of paper stuff.,high
we can discuss options early next week,can we discuss the project timeline early next week?,Shall we schedule a meeting to discuss the marketing strategy for Q3?,We can discuss options early next week.,high
can you help,I'm experiencing trouble with my new smartphone. Can you help me troubleshoot?,"I've spilled coffee on my phone, can it be fixed?",Can you help?,high
its not looking too good is it,the news about the company's financial situation is really bad,Stock prices are dropping dramatically today.,It's not looking too good is it?,high
has anyone else heard anything,did you hear about the surprise announcement?,Have you heard the latest news about the company merger?,Has anyone else heard anything?,high
i went to see a doctor,I've been feeling really unwell lately,Have you felt unwell lately?,I went to see a doctor.,low
ava la was socal meeting,How was your trip to California?,Did you attend the marketing conference in San Francisco last week?,"Ava, LA was Socal meeting.",low
is it over,it's finally over?,I see you've cancelled all our plans for the weekend.,Is it over?,high
ill presume it is dead until i hear otherwise,Did you receive the package?,I found the fish you asked me to buy dead on arrival.,I'll presume it is dead until I hear otherwise.,low
ill get you one,Can you get me the latest movie tickets?,Do you have a moment to pick up some fresh flowers for me?,I'll get you one.,high
ok with me,can we meet up at 5 pm today?,Do you want to meet for lunch tomorrow at the new Italian place?,OK with me.,high
i just tracked down steve,Did you find Steve's address book?,Have you found out where Steve has gone for his vacation?,I just tracked down Steve.,high
what will happen to this project,The project deadline has been pushed back to next quarter,The budget for the project has been suddenly cut in half.,What will happen to this project?,high
mark ellenberg is off for passover,Is Mark Ellenberg off for the holiday?,Have you heard when Mark Ellenberg will be back from his religious vacation?,Mark Ellenberg is off for Passover.,low
i saw your 530 am message,did you forget to wake me up for my meeting?,Did you finish the report for tomorrow's meeting?,I saw your 5:30 AM message!,low
i am snowed under and out of the office,Are you going to meet the deadline?,John hasn't responded to your email yet. Do you think we should follow up?,I am snowed under and out of the office.,high
i plan to be in the office tomorrow,Will you be in the office tomorrow for our meeting?,Have you finalized the budget for next quarter?,I plan to be in the office tomorrow.,high
i am unavailable for the 1pm meeting,Can you confirm your availability for the 1PM meeting on Friday?,I've scheduled a meeting for us at 1PM tomorrow. Is that convenient for you?,I am unavailable for the 1PM meeting.,low
i am looking forward to the salad,I'm really excited for our lunch meeting tomorrow!,I'll make us a fresh salad for lunch today.,I am looking forward to the salad.,high
were planning to go to west virginia for christmas,Have you guys decided on holiday plans yet?,Have you decided on your holiday destination for Christmas?,We're planning to go to West Virginia for Christmas.,low
happy valentines day,are you planning on doing anything special for Valentine's Day?,I've received a beautiful red rose today,Happy Valentine's Day,low
is that eott or the company that owns it,what's the difference between EOTC and EOTT?,I just read an article about a new tech startup in Silicon Valley.,Is that EOTT or the company that owns it?,high
whats going on,I just got the worst news about my job today,I see smoke coming from your roof.,What's going on?,high
you can talk to becky,I've been having some issues with my insurance policy,I need help with a problem related to gardening.,You can talk to Becky!,high
daniel a muschar,Are you going to the concert tonight?,Have you read Daniel A. Muschar's latest research paper on NLP?,Daniel A. Muschar,high
i talked to duran,How did you meet Duran?,Have you spoken with Duran about the upcoming project proposal?,I talked to Duran.,high
i agreed terms with greg,Did you agree to the new terms and conditions?,Did you finish negotiating the deal with Greg?,I agreed terms with Greg.,high
going well here,How's your job search going?,How's the progress on your project?,Going well here.,high
i am at the lake,are you having fun?,Have you gone to the lake where we used to have picnics?,I am at the lake.,high
i wish he would leave deerfield alone,Why did he move to Deerfield?,Susan mentioned she's moving to Boston.,I wish he would leave Deerfield alone.,high
i told you silly,I'm running late because I forgot my keys again,"You forgot your umbrella today, didn't you?",I told you silly.,high
wednesday is definitely a hot chocolate day,"it's been a chilly week, don't you think?",I'm craving for something warm and cozy today.,Wednesday is definitely a hot chocolate day.,high
can you do the gallup contracts as well,Can you translate this contract from English to Spanish?,I've been asked to handle some new contracts.,Can you do the Gallup contracts as well?,high
thanks for your concern,How are you feeling after the accident?,Have you heard about the recent earthquake in Japan?,Thanks for your concern.,high
thursday works better for me,Can you make it to our meeting on Wednesday?,Can we meet next week to discuss the project proposal?,Thursday works better for me.,high
joel ephross on issues reacquiring economic interestsswaps from jedi2whitewing,The latest economic report suggests that the stock market will fluctuate wildly.,Have you heard about the recent financial negotiations between Joel Ephross and Jedi2/Whitewing?,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,low
chase back office and their restart plan updates individually,Can you provide the restart plan update for our project?,Have you received the latest updates from Chase's back office regarding their restart plan?,Chase back office and their restart plan updates individually.,low
i am all over it,did you finish the project?,Have you finished preparing the marketing strategy for our new product?,I am all over it.,high
has your 4th quarter changed,Have you noticed any changes in the market trend recently?,I've just received my company's Q4 financial report.,Has your 4th quarter changed?,high
9 am update meeting,when do we have the project review meeting scheduled for today?,Have you finalized the project timeline for next month?,9 AM update meeting.,low
tomorrow is fine,When are you free to meet up tomorrow?,Shall we meet at the park next Tuesday?,Tomorrow is fine,low
i guess thats additive to my stretch,I'm feeling exhausted from my morning workout,Have you finished reading the new marketing report?,I guess that's additive to my stretch?,low
i think that we should enforce the agreement,have we been meeting these deadlines consistently?,The company's profits have significantly dropped recently.,I think that we should enforce the agreement.,low
yes i did,did you just eat the last slice of pizza?,Did you finish the report on global warming?,Yes I did.,high
i told you that you were a trouble maker,i know you're the one who started the fire at our school's library yesterday,I found your phone with an unknown number calling it repeatedly,I told you that you were a trouble maker!,low
little value to the pipes,How do pipes affect the water pressure in the system?,Have you checked the water pressure in the old house?,Little value to the pipes.,high
what is the mood,I'm feeling so down today,"The weather today is quite unpredictable, what is the mood?",What is the mood?,high
i have some more data coming,can you confirm the accuracy of these numbers?,Have you found any new sales figures for Q3?,I have some more data coming.,high
i thought so,did you really forget our anniversary?,Do you think the new project will require extensive coding?,I thought so.,high
john millar to report,Can you report to the office immediately?,Have you finished reading John Millar's report?,John Millar to report.,low
try to survive,Are you prepared for the apocalypse?,"The storm is coming, what should we do?",Try to survive!,low
we are about to leave heaven,are we there yet?,The gates of Heaven have opened!,We are about to leave Heaven!,high
i am on my way,are you coming to meet me at the party tonight?,I need you to bring the blue folder from work.,I am on my way.,high
do we need to discuss,can we discuss the project's timeline?,I've received an unexpected bill from the utility company.,Do we need to discuss?,high
just playing with you,are you busy today?,Do you believe in ghosts?,Just playing with you!,high
i havent visited with stan lately,have you seen Stan's latest vacation pictures?,Have you seen John and Stan at the park recently?,I haven't visited with Stan lately.,high
whats your phone number,can you come over and help me with my new smartphone?,I found an unknown number in my call history,What's your phone number?,high
or if he comes down i10n then,Have you seen the traffic report for I-10?,John will be arriving from the north. Which highway should I suggest he takes?,Or if he comes down I-10N then?,low
thanks for checking with me,Are we on schedule for the project deadline?,Have you finished the report on sales figures for Q3?,Thanks for checking with me.,high
this is very sensitive,can you keep my deepest secret?,I've found some confidential files on your computer.,This is very sensitive.,high
can you please review and get back to tim,can you please summarize the main points from the quarterly earnings report?,Tim made an error in the financial report for Q3.,Can you please review and get back to Tim?,high
what is the stock price doing,The market is fluctuating wildly today,The NASDAQ index has reached an all-time high today.,What is the stock price doing?,high
this financing shows up as minority interest,Can you explain the ownership structure of our company's recent investment?,Have you checked the company's latest financial statement?,This financing shows up as minority interest.,low
thank you for your call,How do you like the new phone I just bought?,I've found an important document in your office. Can you please identify its content?,Thank you for your call.,high
can we have them until we move,Are we keeping the boxes of books until we move?,We need to pack most of our belongings soon. Can I keep the antique vases?,Can we have them until we move?,high
on the plane doors closing,Are you boarding the flight already?,Have you checked if the plane's doors are closing?,"On the plane, doors closing.",high
what did mark say,Did Mark say something about the meeting?,Mark mentioned the details of his new project at the meeting today.,What did Mark say?,high
lisa mellencamp on any issues regarding pending litigation,Are we in compliance with all regulatory requirements?,Have you heard about the recent court ruling on privacy laws?,Lisa Mellencamp on any issues regarding pending litigation.,low
ill catch up with you tomorrow,"I'm so excited about the upcoming concert, how are you preparing?","Hey, can we discuss the project proposal tomorrow?",I'll catch up with you tomorrow.,high
treasa knows the details,Is our meeting still on for tomorrow?,Have you heard from Treasa about the upcoming business conference?,Treasa knows the details.,high
are you in today,"I'm running late for school today, why did the bus break down?",I'll be at the office if you need anything,Are you in today?,high
have you done any deals yet,Have you received the sales reports yet?,"I've been in negotiations all day, how about you?",Have you done any deals yet?,high
what are you up to with vince,I heard Vince is in trouble with the authorities again,I just received an email from Vince about our project plans.,What are you up to with Vince,low
