,ID,Prompt A,Prompt B,original enron response,Florian,Ioulia,Anna,Annas preference,Prompt_A_use_score,Prompt_B_use_score
29,113,We need more information before we can make a decision.,Can we get an update? The report looks incomplete.,I have some more data coming.,B,B,,,0.06811658,0.10659463703632355
30,188,Are there any Chinese restaurants in the vicinity?,Do you know about other tools we can use? This one is outdated.,I am not aware of any.,B,B,,,0.3006071,0.11273998022079468
31,175,I'm going to call you after 6pm.,We plan to have a meeting next week. Do you want to join?,I will likely not be available.,A,A,,,0.15103939,0.2795320451259613
32,120,SuperCorp just got found guilty for bribery in the court.,Here you can find the latest version of our year report.,What is the stock price doing?,A,B,A,slight,0.08455373,0.07378029823303223
33,236,Hahahaha I guess I'll be fine.,We need to talk. You shouldn't have said that. It's disgusting!,Are you in a good mood?,A,A,,,0.0360521,0.0448947511613369
34,86,Should I bring some disposable cuttlery or plates?,I wonder if you can finish everything by tomorrow.,We have lots of paper stuff.,A,A,,,0.19309987,0.12063871324062347
35,93,"Unfortunately, the whole team just got laid off.","We no longer have access to the database, unfortunately.",What will happen to this project?,A,A,,,0.044777073,0.09145733714103699
36,75,"I'm going to ask for a $10k raise, but I think the boss will not give more than $3-4k.",I can take anything. Any suggestions?,Take what you can get.,A,A,,,0.17684035,0.07561802864074707
37,243,What did you do with Sarah's present?,Rachel wants to see the document before we publish it.,I sent it to her.,B,B,,,0.27475256,0.11698076874017715
38,66,Sorry but this was not included in the original plan.,We need to discuss about the marketing strategy.,What is in the plan?,A,A,,,0.12132286,0.09104464948177338
39,36,When are you going away for holidays?,When will you come to visit us?,In a couple of weeks.,B,B,,,0.4061358,0.2637486457824707
40,266,I don't really think it was the extra cheese that made it tasty.,I believe I managed to fix the bug!,If so what was it?,B,B,,,0.1677012,0.06191376596689224
41,132,"James has been promoted to area manager, he's going to be our new boss.","Our manager told us to contact the provider, since the device is still under warranty.",This is good I think.,A,A,,,0.08844438,0.08366638422012329
42,245,Can I talk to you for a minute?,We need to find another investor ASAP.,On call with S&P now.,B,A,B,slight,0.10548219,0.09951342642307281
43,104,How about we meet this Friday for dinner?,I'll arrange the meeting. Which day suits you best?,Thursday works better for me.,A,B,A,slight,0.26310784,0.4756593704223633
44,83,"Done with the main text, but what about formatting?",We need to select a nice template for the document. Any suggestion?,Get with Mary for format.,A,A,,,0.19901466,0.1991279423236847
45,82,What do you think about Jane as a civil engineer?,Should we ask Jane to move to our team? She looks a hard-working person.,I've never worked with her.,A,B,A,slight,0.32040736,0.26452797651290894
46,115,"Where are you, dinner's getting cold!",The seminar is finishing. I wonder if we can meet you afterwards.,I am on my way.,A,A,,,0.16894767,0.18683739006519318
47,167,"Sorry I didn't know you were away, when will you be back?",Peter wants to meet us in person. When will you be back from your trip?,I will be back Friday.,A,A,,,0.37790376,0.3304934799671173
48,101,"I just got to the park, where do I find you?",Almost there. Where are you now?,I am at the lake.,A,A,,,0.42984116,0.18723730742931366
49,247,Changed my flights so I'll be there on August 3rd.,It's been set to July 3. Looking forward!,See you on the third.,B,B,,,0.22671172,0.07092589139938354
50,269,What do you think about this colour?,We received a bit less income because the sponsor deducted the VAT.,This seems fine to me.,A,A,,,0.17918152,0.13382749259471893
51,157,Mike says this is prohibitively expensive.,We have to discuss the time and cost issues incurred by our teams.,What is the cost issue?,B,B,,,0.124612726,0.14920063316822052
52,37,Are you headed towards the office?,Where are you? We're about to start!,I am walking in now.,A,B,B,slight,0.28763214,0.12068143486976624
53,153,"What about Jim's farewell party, are you going to that?",The seminar might get cancelled eventually. Would you come?,I was planning to attend.,A,A,,,0.21740058,0.31471356749534607
54,318,Just let me know when your flight lands at the airport.,I heard you're still at the airport.,Will you come get me?,A,B,A,strong,0.1224533,0.1055784821510315
55,219,We need to speak to mr. Jones about this.,I plan to book a table for 5 but the website is down.,Are you going to call?,B,B,,,0.08312628,0.1248793974518776
56,279,Can I see you very briefly tomorrow at 10:00?,I know you said you were not available today but this is really important.,I have 30 minutes then.,B,B,,,0.23407426,0.11324910074472427
57,198,How did you know that we're organising a party for Martha?,Do you think we can sort it out? We need at least one volunteer.,Neil has been asking around.,A,B,B,slight,0.13851212,0.08353731036186218
58,214,Let me know when you're finished with these reports.,Thank you guys for submitting on time. Let's hope for the best!,We will keep you posted.,A,A,,,0.1199954,0.07449769973754883
59,53,"Hey, can you bring back the stapler I loaned you?",I need you to finish that section of the report.,Do you need it today?,B,B,,,0.19192718,0.13135482370853424
60,238,I can't believe Jane got an ice cream and I wasn't allowed one.,I told my manager that you always arrive late.,Are you being a baby?,A,A,,,0.10543588,0.12079319357872009
61,64,"Sorry, I didn't mean to offend you by saying this about your neighbourhood.",I'm bringing him to your school now. Anything else?,And leave my school alone.,A,A,,,0.08831711,0.16816122829914093
62,130,"Restaurant table booked honey, can't wait for our date.",It seems too much what you guys have requested. You should prioritize.,We just need a sitter.,A,A,,,0.1413162,0.05271448940038681
63,118,I ordered the cushions in the colour you wanted. Thanks for letting me know  your preference!,I just wanted to confirm if it's OK to send it over.,Thanks for checking with me.,B,B,,,0.20735964,0.1508399248123169
64,273,"Just got a new customer enquiry about a return, what do I do?",We don't know what else to do to get them on board.,Check and find out form?,B,A,A,"strong, although I find the sentence a bit weird in the first place",0.25122294,0.03693849593400955
65,155,"I'm free for the rest of the afternoon, let me know if you need anything.",Just finished. I hope you'll also finish soon.,Can you help me here?,A,A,,,0.17161381,0.08592326194047928
66,222,Done with all the chores you assigned to me.,We just finished. Do you have more tasks?,Will give you more shortly.,B,B,,,0.06637508,0.14959871768951416
67,61,"I just tried some dog biscuits, they didn't taste that bad.",Our client said that it's fine if we make the offer to others.,John this message concerns me.,A,A,,,0.11922631,0.05707015097141266
68,107,We need someone to take care of this immediately!,"We need to deliver ASAP, time is running out!",I am all over it.,A,B,B,none,0.035277765,0.04879268258810043
69,300,How long before the garage is done with your car's service?,Our client requested an estimate. How much time do you think it would take?,It may be an hour.,B,A,A,none,0.27631608,0.26799288392066956
70,10,Ok so I cleared one time slot in my calendar. Will this do?,I told them we would be available today only from 1 to 2.,Not just 1 to 2.,B,A,B,strong,0.13293847,0.12195200473070145
71,240,Why can't Maria come out with us this evening?,"I can bring her to the stadium, sure. Which day?",She has the game tomorrow.,A,A,,,0.31049028,0.27326351404190063
72,186,"Hey stranger, good to hear from you!","I'll come back to you some day soon, as things aren't going great around here.",How are things with you?,A,A,,,0.11654463,0.08242166042327881
73,169,How are Mike and Jim getting on as a team?,"Hi, How is your new job going?",It's not working very well.,A,A,,,0.13472188,0.19967694580554962
74,72,"I booked you a hotel near the airport for tomorrow, it's only 3 stars but I couldn't get anything else.",Is it too much work? Because we can request a deadline extension.,I am fine with this.,A,A,,,0.122329846,0.11095782369375229
75,287,"They are very tired, I don't think we should keep them here much longer.",The team has finished earlier than planned. They did an excellent job!,Then they should go home.,A,B,A,slight,0.18437125,0.06300144642591476
76,122,I'm glad we managed to work things out over the phone.,Thank you for the feedback! It was great talking to you.,Thank you for your call.,B,B,,,0.08708756,0.08813926577568054
77,268,"Where is everyone, I'm getting worried.",We were supposed to meet our investors now. Where are they?,The troops just walked in.,B,A,A,slight,0.065313905,0.09316328167915344
78,111,Why did you turn down the plan to replace the plumbing here?,We have considered integrating a new application with our customer database to send the newsletter.,Little value to the pipes.,A,A,,,0.29277432,0.07413993030786514
79,272,"Yo, let's hang out tonight!",I can meet you in 2 hours.,Are you back in town?,A,A,,,0.09464817,0.12721848487854004
80,74,"The boss just got fired, they'll be looking for someone to replace her soon.",The call for applications is still open.,Are you going to apply?,B,A,B,slight,0.0812715,0.11261731386184692
81,51,I think your computer should be working fine now. Anything else?,"Hi, I'm glad it worked.",Thanks again for your help.,B,B,,,0.12939718,0.09907467663288116
82,221,"Can you believe it was Jones, of all people, who was stealing food from the office fridge?",The guy who wanted to meet us remotely now wants us to come in person to his office.,This is all so unreal.,A,B,A,slight,0.17865495,0.09995279461145401
83,152,"What about online presence, does she have any?",I don't know how to reach out to her.,She has a web address.,A,B,A,slight,0.25866014,0.23639154434204102
84,50,"Hi Maria, sorry I missed your call, how can I help?",Mike told me to call you. Is everything good?,Just wanted to touch base.,B,B,,,0.12818117,0.12423544377088547
85,189,I couldn't log in to the system right up to 11:30 this morning.,I don't know it could have happened. We tested everything!,Perhaps there was a glitch.,B,A,A,slight,0.17366631,0.06589491665363312
86,148,"I have a terrible headache, I don’t know if I can make it to the end of the play.",I'll pick you up right after the workshop. It's getting late.,Maybe you can leave early.,B,A,B,slight,0.18903716,0.10142138600349426
87,158,"I think your email got spammed, I can't find it.","Sorry, I can't find the PDF that you sent us last week.",I will resend to you.,B,B,,,0.16614932,0.20416291058063507
88,24,I'd like to speak to your manager.,I logged in but the application gave me a 403 error.,What is your issue sir?,A,A,,,0.11482468,0.13617810606956482
89,207,What did you do with the customer complaint email that came in this morning?,We need somebody to approve the slides. Any updates?,I have forwarded to Kelly.,A,A,,,0.25816995,0.07464754581451416
90,55,Why is the house a mess? How could you leave the place like this?,Could you please explain how to solve it? We're stuck here.,Will call later to explain.,A,A,,,0.1580396,0.037917301058769226
91,79,Who is this product intended for?,Please let me know who our customers are.,"Target customers: Munis, Wapa, BPA.",A,B,A,slight,0.089351274,0.14403699338436127
92,88,What is this entry LA in Mike's calendar?,,"Ava, LA was Socal meeting.",A,A,,,0.17303789,-1.0
93,160,Hey can you give me your email address?,"Sure, let me know your email and I'll send it over later.",Here's my work email (kay.mann@enron.com).,A,B,B,slight,0.22042115,0.16939027607440948
94,49,What's causing all this disruption?,What's the big deal?,Producers reacting to price management.,A,A,,,0.08527113,0.018869975581765175
95,277,What happened at San Francisco last week?,Where in was Interconnect?,San Francisco was Interconnect meeting.,B,B,,,0.37059808,0.440355509519577
96,95,I was up really early today.,"Sorry for coming back to you, but this is important.",I saw your 5:30 AM message!,A,A,,,0.10865958,0.04889076203107834
97,11,Can you send me a brief summary for the meeting?,Please send me the customer briefing overview.,Here's the talking points for ANNGTC.,A,A,,,0.16308159,0.09363996237516403
98,13,"I'm done with the report, what do I do next?",Just finished the report! Who should approve it?,Please send to Hartsoe for comment.,B,A,B,slight,0.06998913,0.051587384194135666
99,139,What number can I call him at?,How can I reach out to him?,He is at 281 350 8441.,A,A,,,0.20509171,0.1048562303185463
100,290,"Sorry I missed the meeting yesterday, can you fill me in?","Nobody has sent me any feedback so far, yet everyone was taking notes!",I'll give you my handwritten notes.,A,A,,,0.11690323,0.13623765110969543
101,282,How can I help you today Jim?,Do you agree on the new firing policies? Any feedack is welcome.,Who should I contact regarding severance?,B,A,B,slight,0.06530787,0.2009478360414505
102,228,I hope we didn't forget anything.,No jobs at NetCo have started yet. I thought they would have finished this week!,Have we assigned employees to NetCo?,B,A,A,"strong because I find it better not to repeat special words, but thats somewhat task specific",0.035495833,0.14758294820785522
103,94,"I can't seem to be able to reach Mr. Ellenberg, is he ok?",Do you have any news about Mark Ellenberg? I haven't heard from him in a while.,Mark Ellenberg is off for Passover.,A,B,A,slight because only last name is repeated,0.21200731,0.35956162214279175
104,19,"When's our next appointment, doctor?",Thanks for arranging the meeting. Looking forward to it!,I'll see you Thursday October 25.,A,A,,,0.21011077,0.1642119288444519
105,70,When do you do yoga classes?,Which day would suit your team best for the new project meetings?,9:00 AM every second Saturday with Michelle.,A,A,,,0.32718354,0.2690906822681427
106,166,"Sorry, I couldn't hear you over the phone, can you just write what you wanted to ask?",We have some problems with the new team at EOTT GP.,What Enron entity owns the EOTT GP?,B,A,A,slight because it does not repeat the name,0.054311022,0.16422894597053528
107,46,I don't know how we can possibly meet our target for this quarter.,"We can go either with Foster or Norman, but not both.",Can we go to 150/150 with Foster?,B,B,,,0.0927044,0.29863470792770386
108,117,"The main motorway is completely blocked, it will take hours for him to get here.",,Or if he comes down I-10N then?,A,A,,,0.16904359,-1.0
109,108,"I can assign you to John's project, you can make a bonus by helping there.","I need you to also call John, since time is running out.",I guess that's additive to my stretch?,A,B,B,slight,0.100684464,0.09016916155815125
110,68,I thought we had a conference call about the budget today.,Could you give me a quick update?,Budget allocation from Glisan has been postponed.,A,A,,,0.2545359,0.06774111837148666
111,202,Is anyone from your team going to Quill soon?,We're preparing the meeting in Quil. What do you know about Michael?,Maybe Michael will go to Quil tomorrow.,A,A,,,0.13539931,0.41012197732925415
112,80,"I need a break, when can you make some time to go for a walk?","I'll be in my office tomorrow, just in case you want to meet.",Can I meet with you at 4:00?,B,B,,,0.25449514,0.18501189351081848
113,96,"Helen is asking about today's meetings, can you make all of them?",We can meet either at 1PM or 3PM.,I am unavailable for the 1PM meeting.,B,A,A,slight,0.21395278,0.38863760232925415
114,197,"So, would you like to explore the prospect of a career with us further?",Would you be interested in a follow-up meeting?,I'm quite interested as I told Lyn.,B,A,A,slight,0.15834644,0.14381691813468933
115,52,Ok so I guess we'll talk again in the morning.,Is there anything missing regarding your trip?,You didn't answer me about driving tomorrow.,B,B,,,0.06549363,0.1384917050600052
116,203,Do you still have assets in the UK market?,I wonder what happened to our UK business.,We sold the UK business to AEP.,B,B,,,0.37432432,0.3200583755970001
117,174,Got the new phone! It's amazing!,I just received my Blackberry. It feels good typing on a regular keyboard!,"I also just received my Blackberry, cool.",B,A,A,slight,0.2223937,0.44504278898239136
118,295,When did this decision get taken?,Coming back tomorrow. Any news I should know?,We had a VP PRC meeting Thursday.,A,A,,,0.10793394,0.07800526916980743
119,261,Did you hear they are going to bring in Elizabeth Knowles?,Do you know about the new rol of Rachel?,She is taking over Global Finance Legal.,B,B,,,0.17527229,0.15508562326431274
120,69,"Monday is a bank holiday, we'll get a chance to relax!",Did you know that we're closed on Friday?,I'm looking forward to the long weekend!,A,B,A,no preference,0.17601481,0.22376978397369385
121,47,"Yeah, the meeting didn't happen, Joe Pesci was down with COVID.",The trip was awful! I had to pay everything myself because the company's card was declined.,That's another hole in the NY trip.,A,A,,,0.11027952,0.14700758457183838
122,121,"Check your screen, what do you see when you select ""CY2 Financing""?","Based on the report, we could open a new branch in Alaska.",This financing shows up as minority interest.,A,A,,,0.22661327,0.12504932284355164
123,271,"John is really ill, what the heck. Was he OK when he arrived?",He had a serious injury yesterday.,Seemed fine when I picked him up.,A,A,,,0.23096262,0.1731547862291336
124,126,What did you like most about going camping?,Yesterday night was amazing. Thanks for bringing the telescope!,The meteor shower was incredible last night.,B,A,B,slight,0.26069903,0.4112178087234497
125,63,"Don't worry, you don't really need to be there, I'll fill you in.",Thanks for the report. I'll check it out later today.,Let me know if I miss anything.,B,B,,,0.074601956,0.06710411608219147
126,12,What's this filing all about?,I found it hard to read. What is it about?,The filing concerns various scheduling and balancing rules.,A,A,,,0.18294787,0.08890833705663681
127,254,Do you know Helen's itinerary for today?,Do you have any updates from Caroline?,She was leaving Omaha for Houston at 4:00.,B,B,,,0.24022481,0.199802964925766
128,317,What was your conference call about this morning?,How did you know about those stocks? I thought Mahonia and EGM were classified.,"On Mahonia margining, I spoke with Mike Garberding.",A,A,,,0.23631936,0.21947556734085083
129,124,Who was it that interrupted the boss while he was talking?,Do you know who should I reach out to?,Lisa Mellencamp on any issues regarding pending litigation.,B,B,,,0.14286649,0.0685206949710846
130,226,I think we should go ahead with the blue colour for the bedroom.,I plan to buy the equipment today. Do you agree?,"If possible, I'd like to get Amy's opinion.",A,A,,,0.10535843,0.10529091954231262
131,164,Any dangers we should keep in mind?,Any summary about the bankrupt? We should move on.,Issue on post bankruptcy price risk issue remains.,A,B,A,slight,0.06729204,0.321624219417572
132,264,What are we going to do about this trip? Is it still going to happen?,Heading off to the meeting! Are you around?,Danny I recommended on Monday we cancel it.,A,A,,,0.10620744,0.1578497588634491
133,216,"What if they're not available, what shall we do?","Almost done with the report, but not sure if it would be approved.","If not, I can try information in Omaha.",B,B,,,0.033654105,0.029044512659311295
134,190,I thought the US branch was closed.,I believe we sold the US business today.,We haven't sold the US business as yet.,B,A,A,slight,0.22785425,0.36535581946372986
135,162,"Can we go for a walk please, I'm so bored.",We're going for lunch now. Wanna join?,Sorry but I'm hostage in meeting in 39c1.,B,B,,,0.19780755,0.13139300048351288
136,5,I just got a thank you letter from one of our customers!,Who should approve this document?,Please forward to Andy Edison and Stuart Zisman.,B,B,,,0.086225584,0.07778652012348175
137,150,"Hey, how's it going so far?",I've been told you were looking for me. Any news?,Quick updates: spoke with Larry lawyer at EGM.,B,B,,,0.08789979,0.09985613822937012
138,135,Is there something I can do for you?,We have too many letters pending. We should prioritize!,Can you get me the Calger letter done?,A,A,,,0.1269188,0.13529779016971588
139,48,What did you want to know?,The contract says that the 2023-2024 period is fully insured.,What period does the max rate assumption cover?,B,A,A,"slight, a bit simpler to understand",0.061517447,0.29973310232162476
140,297,Let's be as well-prepared as we possibly can.,We failed to purchase the UK business. What now?,We don't want to look bad to Dyn.,B,A,A,strong,0.056632586,0.1655205637216568
141,267,What do you think about all these incidents?,"We need to implement identification, prevention and maintenance policies in our pipeline.","In isolation, all of these things are trivial.",A,B,A,"slight, simpler",0.11732581,0.12754419445991516
142,170,"I'm tired of James, he's nothing but trouble. I told him I can't help.",Mike wants to fill a complaint without having to submit the official form.,Let him pursue his claims with everyone else.,B,A,B,slight,0.092807874,0.1724432408809662
143,270,"Looks like COVID hit you hard, you should wear a mask from now on.","We just received a new purchase offer. This time is ""only"" half of what we requested.",Man I don't want to get sick again.,A,A,,,0.08473625,0.05004866421222687
144,45,Are you going to be in the area any time soon?,I'd like to schedule the State College meeting while you guys are there.,We'll be in State College around July 4.,B,A,A,slight,0.2595759,0.28992119431495667
145,211,Who are you going to talk to about the problem?,"What should I enter as meeting title, then?",Meeting with Alaska Governor Tony Knowles on November 30th.,B,A,B,strong,0.10511024,0.1482827067375183
146,105,Who's talking just now?,,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,A,A,,,0.063228615,-1.0
147,76,Who are you chatting with?,Do you know the person in charge?,Shelley (making good use of my jury duty time),B,A,A,,0.1520747,0.07681047916412354
148,106,Ok so how do I handle this?,All set! What are the next steps?,Chase back office and their restart plan updates individually.,B,B,,,0.02423662,0.05918233096599579
149,256,John is asking why you can't come to work on Tuesday morning.,It seems you're the only one who can't make it on Tuesday morning.,I have a doctor's appointment for 11:00 on Tuesday.,A,A,,,0.117985114,0.1096903383731842
150,196,"Ever since she got promoted, she just bosses everyone around.",Our offer was declined not because of funds but the lack of supporters.,That's not the behavior that I was looking for.,A,B,A,slight,0.10069833,0.05994352325797081
151,234,"Cool, sounds like you had fun with your kids!",None of the advisory board members seem reachable this week.,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,A,B,B,,0.074285455,0.0853118747472763
152,218,How's everything going for you and Samantha?,Any news about the Weil branch? We should close the deal!,"We are sitting in Weil's offices, waiting to negotiate.",A,B,A,strong,0.13283397,0.2732720971107483
153,90,"I haven't heard anything recently about the Safari Project, is it still happening?",Haven't heard about the project in a while.,I'll presume it is dead until I hear otherwise.,B,B,,,0.22594483,0.052822012454271317
154,67,We already agreed terms for the repayment of the loan.,We already mention the warranty. See sections 4 and 5.,"If this has already been covered, then I apologize.",A,A,,,0.14999387,0.11153852194547653
155,313,"Thankfully it's just a slight infection, take the pills and it should clear up in a couple of days.","Eventually the issue was caused by a third-party module, not ours.",Thanks - that's what I was hoping it was.,A,A,,,0.1788384,0.10112430900335312
156,227,Any updates about any of the deadlines?,I thought we would meet AIG today to discuss about the investment plans.,AIG has agreed capital call not due until Monday.,B,A,A,,0.22720209,0.3200289309024811
157,316,Do you still need the dress I borrowed from you?,I'll go on holidays tomorrow. Do you still need it?,Yes still need it - when are you back?,B,A,B,,0.46843642,0.5031481385231018
158,177,Can we chat briefly before the big meeting?,"Hi, when do you want to meet?",I'll meet you at Bill Sperry's office at 12:30.,B,B,,,0.16773756,0.3073938190937042
159,212,What's driving up the electricity prices?,,Coal switching to NG and power guys stimulating demand.,A,A,,,0.4573991,-1.0
160,248,What do we do about traininig this puppy?,Who has any updates about Littler?,Diane has info from Littler on its proposed training.,B,B,,,0.15718783,0.13922056555747986
161,32,"So, should I authorise Mike to go ahead?",It seems we can't hire until the new law on residence permits is released.,Probably need to check with HR group providing services.,B,B,,,0.05579097,0.2360811084508896
162,4,So do I reduce it or push it further out?,"For the slides, we should mention our acquisition portfolio and ongoing offers.",Further out - will fax you price target slide.,A,A,,,0.031079032,0.18487876653671265
163,184,What did you want to talk to me so secretively about?,I just got your voicemail. What's going on?,Any interest in chatting about a job at UBS?,B,B,,,0.1464268,0.10551920533180237
164,172,"Hey baby, how's your day going so far?",On my way back to the office. Where are you?,"We are still in Palacios, having a quiet AM.",B,B,,,0.14163235,0.17576752603054047
165,319,"So, when do we hear from you again?",We can only do the job if get a team of 5.,I will conference in for Thursday's customer service meeting.,A,A,,,0.15384026,0.05831586569547653
166,293,It was such a pleasure to have met you. I enjoyed my time there.,I heard there are some seats left for the conference. Can I join?,"You are welcome in Palacios this weekend, of course.",B,A,B,,0.15557577,0.16831791400909424
167,97,Any plans for the holiday season?,Will you go on holidays for the winter break?,We're planning to go to West Virginia for Christmas.,B,A,B,none,0.43060818,0.39228570461273193
168,127,"What the heck does Mike want, he's constantly changing his mind!","I need the exact price, or else we won't be able to submit the report!",I'll let you know when I figure it out!,B,B,,,0.12879671,0.11958926916122437
169,289,Where precisely is your office located?,"Hey, just arrived! Where are you?",I'm on the 6th floor of the new building.,B,B,,,0.34758896,0.23132988810539246
170,138,I'm anxious to get this holiday booked with the travel agent.,All the best with the new client onboarding!,Will let you know how call goes in morning.,B,B,,,0.13472205,0.07264341413974762
171,110,Hahaha I can't believe Jane got so upset over the fake resignation letter!,Apparently my suggestion was rejected. Again?,I told you that you were a trouble maker!,A,A,,,0.09013228,0.04845035821199417
172,235,Have your guys finished with the construction?,Monday is the only day that works for everyone.,I don't know that I will be back Monday.,B,A,,"I would remove this sentence, I don't know how to read the ""that"" if it should rather be ""if/wether"" or if there should be a comma. Depending on that, one or the other context fits better...",0.10792281,0.16792786121368408
