,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
556,did you know that I lost my passport?,"Mike, are you aware of this?",7,2,"Mike, have you read the latest research on neural machine translation?","Mike, are you aware of this?",5,3,"Mike, are you aware of this?",9,high,0.0,6,low,medium,medium,low,low,low,1.4,1.6
937,Are we on the right path?,Do we know what we need?,8,3,Let's discuss our plan for the marketing campaign.,Do we know what we need?,10,2,Do we know what we need?,7,high,0.0,6,low,medium,medium,high,medium,low,1.8,1.6
636,Are you free to meet up tomorrow?,If not can I call you?,8,2,"I've lost my way, can you give me directions?","If not, can I call you?",8,1,If not can I call you?,9,high,0.0,6,low,high,low,high,low,low,2.2,1.8
1152,Can you confirm the meeting with Mike Garberding?,"On Mahonia margining, I spoke with Mike Garberding.",7,3,Have you read the latest research on plant species in the Marginalia forest?,"On Mahonia margining, I spoke with Mike Garberding.",2,3,"On Mahonia margining, I spoke with Mike Garberding.",1,low,9.0,8,low,high,low,low,low,medium,2.2,1.8
169,how can we manage our company's data breaches?,We need a process to deal with this.,7,3,The software we're using has crashed and we can't access our project files.,We need a process to deal with this.,7,2,We need a process to deal with this.,7,high,0.0,8,low,high,low,high,high,high,3.0,1.8
957,did you hear that John's getting married?,I hope he is having a fantastic time.,8,2,John just boarded his dream vacation flight to Bali.,I hope he is having a fantastic time.,10,2,I hope he is having a fantastic time.,8,high,4.0,8,medium,medium,low,low,high,low,1.4,1.8
495,I just got a new job and I'm feeling overwhelmed with work,Let me know how I can help,6,1,I can't seem to figure out how to use this app.,Let me know how I can help.,10,2,Let me know how I can help.,7,high,3.0,7,low,high,low,high,low,medium,2.6,1.8
1097,Did you confirm the meeting with Mary Kay for tomorrow?,Did you get the message to call Mary Kay?,8,2,I found your lost wallet on the bus,Did you get the message to call Mary Kay?,8,2,Did you get the message to call Mary Kay?,7,high,4.0,9,low,high,low,high,low,medium,2.6,1.8
704,why are my credit card payments overdue?,We need to talk about this month.,8,2,You haven't paid rent this month.,We need to talk about this month.,8,2,We need to talk about this month.,9,high,0.0,7,medium,medium,low,high,low,medium,2.2,1.8
929,How was your weekend getaway?,Hope you had a good weekend.,8,2,I finished reading an interesting article on quantum physics.,Hope you had a good weekend.,5,3,Hope you had a good weekend.,3,low,0.0,6,low,medium,high,low,low,low,1.4,1.8
96,"I'm running late for our meeting, can you meet me at the usual spot?",I am in 50M if you need me.,6,2,Can you help me find the address of the new library?,I am in 50M if you need me.,7,2,I am in 50M if you need me.,7,high,0.0,8,low,high,low,low,low,medium,2.2,1.8
1101,I'm feeling anxious about my upcoming exam.,What is the purpose of this?,6,1,I've found an old map in the attic,What is the purpose of this?,7,2,What is the purpose of this?,8,high,0.0,6,low,high,low,high,low,low,2.2,1.8
590,Are you free for lunch today?,I'm in a meeting until noon.,8,3,Do you have time to discuss the project proposal this afternoon?,I'm in a meeting until noon.,7,3,I'm in a meeting until noon.,7,high,0.0,6,low,high,medium,high,low,medium,2.6,2.0
986,can you receive data packets remotely?,I'm available by cell when you get data points.,8,2,I need your expert opinion on these financial reports.,I'm available by cell when you get data points.,9,3,I'm available by cell when you get data points.,7,high,4.0,9,low,high,medium,high,low,low,2.2,2.0
151,Can we provide out-of-office services to non-employees?,Probably need to check with HR group providing services.,8,2,John's new project requires different benefits than his current ones.,Probably need to check with HR group providing services.,8,2,Probably need to check with HR group providing services.,3,low,12.0,9,medium,medium,medium,low,medium,high,2.2,2.0
866,I'm so excited for the concert tonight!,Are you in a good mood?,8,3,I've received good news today,Are you in a good mood?,10,2,Are you in a good mood?,7,high,2.0,6,medium,medium,medium,high,medium,high,2.6,2.0
457,Are we in compliance with all regulatory requirements?,Lisa Mellencamp on any issues regarding pending litigation.,4,3,Have you heard about the recent court ruling on privacy laws?,Lisa Mellencamp on any issues regarding pending litigation.,5,3,Lisa Mellencamp on any issues regarding pending litigation.,2,low,13.0,8,low,high,medium,high,low,low,2.2,2.0
446,Have you seen the traffic report for I-10?,Or if he comes down I-10N then?,7,3,John will be arriving from the north. Which highway should I suggest he takes?,Or if he comes down I-10N then?,7,2,Or if he comes down I-10N then?,2,low,3.0,7,low,high,medium,high,low,low,2.2,2.0
120,How was your trip to Florida?,Hope your trip to Florida was good.,6,1,I just got back from the Miami heat game.,Hope your trip to Florida was good.,8,2,Hope your trip to Florida was good.,8,high,3.0,7,low,high,medium,high,low,low,2.2,2.0
615,Did you remember to pack my bag for the trip tomorrow?,Let me know when you get this.,6,2,I need you to bring the blue folder from the office.,Let me know when you get this.,8,2,Let me know when you get this.,7,high,0.0,7,low,high,medium,high,low,low,2.2,2.0
926,Are you free on Tuesday?,I have a doctor's appointment for 11:00 on Tuesday.,6,3,Do you have any important appointments coming up?,I have a doctor's appointment for 11:00 on Tuesday.,8,2,I have a doctor's appointment for 11:00 on Tuesday.,1,low,5.0,9,low,high,medium,high,high,high,3.0,2.0
833,I just received your birthday gift and I'm excited to give it to you!,Am I getting a good package?,6,1,I heard you're getting a subscription box,Am I getting a good package?,8,2,Am I getting a good package?,7,high,0.0,6,medium,medium,medium,low,low,low,1.4,2.0
553,Have we settled the legal dispute yet?,Quick updates: spoke with Larry lawyer at EGM.,6,3,Have you made any progress with the legal matter regarding the business merger?,Quick updates: spoke with Larry lawyer at EGM.,5,2,Quick updates: spoke with Larry lawyer at EGM.,3,low,3.0,8,low,high,medium,medium,low,low,2.0,2.0
795,we're looking for someone in the western states,Do we have anyone in Portland?,8,1,Let's plan our next business trip.,Do we have anyone in Portland?,8,2,Do we have anyone in Portland?,9,high,2.0,6,low,high,medium,high,low,medium,2.6,2.0
600,can you please send the meeting minutes to both of us?,Please send it to both of us.,5,1,I found an important email with attachments for our project.,Please send it to both of us.,10,2,Please send it to both of us.,7,high,3.0,7,low,high,medium,high,high,low,2.2,2.0
905,What are the details of Littler's proposed training for Diane?,Diane has info from Littler on its proposed training.,8,3,Have you received any updates from Littler about their upcoming training sessions?,Diane has info from Littler on its proposed training.,5,2,Diane has info from Littler on its proposed training.,3,low,7.0,9,medium,medium,medium,low,medium,low,1.4,2.0
129,Did Sarah invite herself to our party?,She called and wants to come over this AM.,8,1,Mom asked me to pick up groceries on my way home.,She called and wants to come over this AM.,8,3,She called and wants to come over this AM.,8,high,4.0,9,medium,high,low,high,low,medium,2.6,2.2
465,Did you get to see the meteor shower last night?,The meteor shower was incredible last night.,8,2,Did you get a chance to see the night sky last night?,The meteor shower was incredible last night.,8,2,The meteor shower was incredible last night.,3,low,10.0,7,medium,high,low,high,medium,high,3.0,2.2
545,I was thinking we could change the meeting time to Friday,We can work around these plans if you prefer.,8,1,I'd like to change the meeting time due to unforeseen circumstances.,We can work around these plans if you prefer.,7,2,We can work around these plans if you prefer.,7,high,4.0,9,medium,high,medium,low,medium,low,1.8,2.4
875,The project deadline is nearing and we're still working on the final draft.,"If we don't get it, could be trouble.",7,2,The stock market has seen record highs recently.,"If we don't get those profits, could be trouble.",8,2,"If we don't get it, could be trouble.",9,high,0.0,8,high,medium,medium,high,low,medium,2.2,2.4
939,I'm surprised to see Julia switching groups without discussing it with anyone,Does Dan know about Julia changing groups?,8,2,I heard that Julia joined a new club last week,Does Dan know about Julia changing groups?,8,2,Does Dan know about Julia changing groups?,7,high,3.0,7,medium,high,medium,low,low,medium,2.2,2.4
497,"haven't seen you in ages, how's life?",We can have wine and catch up.,8,1,I've been thinking about old times and our shared memories.,We can have wine and catch up.,8,2,We can have wine and catch up.,8,high,0.0,7,medium,high,medium,medium,medium,low,2.0,2.4
787,Are you attending the upcoming conference?,Meeting with Alaska Governor Tony Knowles on November 30th.,4,3,Have you arranged any meetings with notable political figures in the near future?,Meeting with Alaska Governor Tony Knowles on November 30th.,5,2,Meeting with Alaska Governor Tony Knowles on November 30th.,0,low,8.0,9,medium,high,medium,high,high,low,2.2,2.4
940,Can you pick up some office supplies from the meeting room?,Can you bring these to 49C1?,6,2,I'll need you to pick up some documents from my office before heading to the meeting.,Can you bring these to 49C1?,8,2,Can you bring these to 49C1?,8,high,0.0,6,medium,high,medium,high,low,low,2.2,2.4
832,Have we finalized the project plan for NetCo?,Have we assigned employees to NetCo?,8,2,Let's check our current project assignments.,Have we assigned employees to NetCo?,8,2,Have we assigned employees to NetCo?,3,low,7.0,6,medium,high,medium,high,medium,low,2.2,2.4
260,I think George might be hiding something from us,Do you and George have a thing going?,7,3,I saw you and George looking quite cozy at the party last night.,Do you and George have a thing going?,8,2,Do you and George have a thing going?,7,high,1.0,8,medium,high,medium,high,high,low,2.2,2.4
450,The market is fluctuating wildly today,What is the stock price doing?,8,2,The NASDAQ index has reached an all-time high today.,What is the stock price doing?,8,2,What is the stock price doing?,7,high,2.0,6,high,medium,high,medium,low,medium,2.0,2.6
1112,Can we schedule our meeting for next week?,Does Friday at 10 work for you?,7,3,I'd like to schedule a meeting next week.,Does Friday at 10 work for you?,8,2,Does Friday at 10 work for you?,7,high,0.0,7,high,high,medium,high,high,high,3.0,2.8
