"id","pid","extype","orig_phrase","sub_phrase","effect"
"31","id485d6e97579b2","3","Can you bring these to 49C1?","Can you bring these to 49C1?","0"
"32","id485d6e97579b2","3","Thanks for checking with me.","Thanks for checking for me.","0"
"33","id485d6e97579b2","3","I'm available by cell when you get data points.","I'm available to cell when you get data","0"
"34","id485d6e97579b2","3","I didn't understand we were borrowing them.","I didn't understand we were borring them ","0"
"35","id485d6e97579b2","3","Does Dan know about Julia changing groups?","Does  know about Jullia change groups","0"
"36","id485d6e97579b2","2","Are you going to call?","Are you going to call?","0"
"37","id485d6e97579b2","2","I think afraid of mass exodus.","I think afraid of mass exodus ","0"
"38","id485d6e97579b2","2","What is wrong?","What is wrong?","0"
"39","id485d6e97579b2","2","See you later.","See you later","0"
"40","id485d6e97579b2","2","Check and find out form?","Check and find out form","0"
"41","id485d6e97579b2","2","Are you being a baby?","Are you being a babe?","0"
"42","id485d6e97579b2","2","I'm available by cell when you get data points.","I'm availbe by cell when you get data points","0"
"43","id485d6e97579b2","2","We can work around these plans if you prefer.","We can work around ","0"
"44","id485d6e97579b2","2","I am not concerned with the Brown money.","I am not concenred with brown money ","0"
"45","id485d6e97579b2","2","I tried that to no avail.","I tried to avoid the avail","0"
"46","id0b3b44e2cef4d","3","Also it appears no payment is required tomorrow.","Also it appears new experiment ","0"
"47","id0b3b44e2cef4d","3","We must be consistent.","We must be consident","0"
"48","id0b3b44e2cef4d","3","Perhaps there was a glitch.","Perhaps there was a glitch!","0"
"49","id0b3b44e2cef4d","3","Trip was good I presume?","Trip was good I presume","0"
"50","id0b3b44e2cef4d","3","Hope your week is going well.","Hope your week was good as well","0"
"51","id0b3b44e2cef4d","3","Would you have John send me a message?","Would you have John send me a message?","0"
"52","id0b3b44e2cef4d","3","I just had my head in the clouds.","I just have cloud in my head","0"
"53","id0b3b44e2cef4d","3","Go for the dollars.","Go for the dollars.","0"
"54","id0b3b44e2cef4d","3","I talked to Duran.","I talked to Duran","0"
"55","id0b3b44e2cef4d","3","I have an AM doctor's appointment.","I have an AM doctor's appointment","0"
"56","id0b3b44e2cef4d","1","Daniel A. Muschar","Daniel M. Mushar","0"
"57","id0b3b44e2cef4d","1","Can you bring these to 49C1?","Can you bring C","0"
"58","id0b3b44e2cef4d","1","She has the game tomorrow.","She has the game tommorow","0"
"59","id0b3b44e2cef4d","1","Thus have nothing to destroy.","Thus have nothing to destroy","0"
"60","id0b3b44e2cef4d","1","I'm not planning on doing anything this week.","I 'm not planning to do anything this week","0"
"61","id0b3b44e2cef4d","1","Can we meet at 3:30?","Can we meet 3:30A.M.","0"
"62","id0b3b44e2cef4d","1","You can talk to Becky!","You can talk to Becky","0"
"63","id0b3b44e2cef4d","1","Did you differ from me?","Did you differ with me?","0"
"64","id0b3b44e2cef4d","1","I am trying again.","I am trying again.","0"
"65","id0b3b44e2cef4d","1","I will resend to you.","I will resend to you","0"
"66","id0b3b44e2cef4d","2","How are things?","How are things?","0"
"67","id0b3b44e2cef4d","2","I was trying to remember what Bobby said.","I was trying to remember what Tobby said","0"
"68","id0b3b44e2cef4d","2","I will take a look at this today.","I will take a look today","0"
"69","id0b3b44e2cef4d","2","Is this the conference rate?","Is this the conference rate?","0"
"70","id0b3b44e2cef4d","2","Was wondering if you and Natalie connected?","I was wondering if you and Natalie connected","0"
"71","id0b3b44e2cef4d","2","This is all so unreal.","This is so unreal","0"
"72","id0b3b44e2cef4d","2","We need to talk about this month.","We need to talk about last month","0"
"73","id0b3b44e2cef4d","2","I guess this is OK if you are.","I guess this is OK if you are","0"
"74","id0b3b44e2cef4d","2","Sorry for the delay.","Sorry for the delay","0"
"75","id0b3b44e2cef4d","2","Will give you more shortly.","Will give you more shortly","0"
"76","id0b3b44e2cef4d","4","I will call.","I will call","0"
"77","id0b3b44e2cef4d","4","Did you send out a global message from me?","Did you send out a global message for me?","0"
"78","id0b3b44e2cef4d","4","How's the share price?","How's the share price?","0"
"79","id0b3b44e2cef4d","4","Should systems manage the migration?","Should system migration?","0"
"80","id0b3b44e2cef4d","4","Not just 1 to 2.","Not just 1 to 2","0"
"81","id0b3b44e2cef4d","4","Probably will be working.","Probably we will working","0"
"82","id0b3b44e2cef4d","4","She just came.","She just came","0"
"83","id0b3b44e2cef4d","4","We can work around these plans if you prefer.","We can work these plans if you want","0"
"84","id0b3b44e2cef4d","4","Also it appears no payment is required tomorrow.","Also it appears no payment","0"
"85","id0b3b44e2cef4d","4","I talked to Duran.","I talked to Duran.","0"
"86","id88d9599e3704f","2","What is in the plan?","What is in the plan?","0"
"87","id88d9599e3704f","2","Remember blackberry doesn't work so well at home.","Remember Blackberry doesn't work very well at home.","0"
"88","id88d9599e3704f","2","What does ""held"" mean?","What does ""held"" mean?","0"
"89","id88d9599e3704f","2","How soon do you need it?","How soon do you need it?","0"
"90","id88d9599e3704f","2","That would be great.","That would be great.","0"
"91","id88d9599e3704f","2","Can you call me at home?","Can you call me at home?","0"
"92","id88d9599e3704f","2","Keep me posted!","Keep me posted!","0"
"93","id88d9599e3704f","2","On my way back.","On my way back.","0"
"94","id88d9599e3704f","2","And leave my school alone.","And leave my school alone.","0"
"95","id88d9599e3704f","2","Would you have John send me a message?","Would you have John send me a message?","0"
"96","id88d9599e3704f","3","I'll get you one.","I'll get you one.","0"
"97","id88d9599e3704f","3","Neal, can you help with this?","Neal, can you help me with this?","0"
"98","id88d9599e3704f","3","OK by me.","Ok by me.","0"
"99","id88d9599e3704f","3","The rest is a byproduct of slapshot.","The rest is a byproduct of slugspot.","0"
"100","id88d9599e3704f","3","I won't be home until 6.","I won't be home until 6.","0"
"101","id88d9599e3704f","3","I told Gary you could make the call.","I told Gary you could make the call.","0"
"102","id88d9599e3704f","3","Thanks for your concern.","Thanks for your consern.","0"
"103","id88d9599e3704f","3","Sounds good to me.","Sound good to me.","0"
"104","id88d9599e3704f","3","We can have wine and catch up.","We can have wine and catch up.","0"
"105","id88d9599e3704f","3","I am now officially a Blackberry addict.","I am now officialy a Blackberry addict.","0"
"106","id88d9599e3704f","4","Thursday works better for me.","Thursday works better for me.","0"
"107","id88d9599e3704f","4","Let's wait until Monday.","Let's wait until Monday.","0"
"108","id88d9599e3704f","4","This looks fine.","This looks fine.","0"
"109","id88d9599e3704f","4","Please set something up.","Please set something up.","0"
"110","id88d9599e3704f","4","Just sitting around.","Just sitting around.","0"
"111","id88d9599e3704f","4","He would love anything about rocks.","He would love anything about rocks.","0"
"112","id88d9599e3704f","4","What level of detail do you need?","What level of detail do you need?","0"
"113","id88d9599e3704f","4","Did you send out a global message from me?","Dis you send out a global message for me?","0"
"114","id88d9599e3704f","4","Get with Dot.","Get with Dot.","0"
"115","id88d9599e3704f","4","Please send it to both of us.","Please send it to both of us.","0"
"116","id88d9599e3704f","1","You have a nice holiday too.","You have a nice holiday too.","0"
"117","id88d9599e3704f","1","Had a great meeting.","Had a grea meeting.","0"
"118","id88d9599e3704f","1","Thus have nothing to destroy.","Thus have nothing to destroy.","0"
"119","id88d9599e3704f","1","Did you talk to Ava this morning?","Did you talk to Ava this morning?","0"
"120","id88d9599e3704f","1","I agreed terms with Greg.","I agreed terms with Greg.","0"
"121","id88d9599e3704f","1","We're on the way.","We're on the way.","0"
"122","id88d9599e3704f","1","Chris Foster is in!","Chris Foster is fun!","0"
"123","id88d9599e3704f","1","I better go.","I better go.","0"
"124","id88d9599e3704f","1","I like it.","I like it.","0"
"125","id88d9599e3704f","1","Of course not","Of course not","0"
"126","id1d7694116bf3a","2","Little value to the pipes.","Littile value","0"
"127","id1d7694116bf3a","2","I think those are the right dates.","I think these are the right dates","0"
"128","id1d7694116bf3a","2","Do we have New York sorted out?","Do we have New York sorted out?","0"
"129","id1d7694116bf3a","2","Get with David Lund.","Get with David Lunt","0"
"130","id1d7694116bf3a","2","A gift isn't necessary.","A gift isn't necessary","0"
"131","id1d7694116bf3a","2","Do we have anyone in Portland?","Do we have anyone in Portland?","0"
"132","id1d7694116bf3a","2","It reads like she is in.","It reads like she's in","0"
"133","id1d7694116bf3a","2","A bit behind on my emails.","A bit behind my emails","0"
"134","id1d7694116bf3a","2","Please send me an email to let me know.","Please send me an email to let me know.","0"
"135","id1d7694116bf3a","2","Let me know when you get this.","Let me know when you get this.","0"
"136","id1d7694116bf3a","3","Can you bring these to 49C1?","Can you bring these to 49C1?","0"
"137","id1d7694116bf3a","3","This is the neatest toy I have had.","This is the nearest toy i ever had.","0"
"138","id1d7694116bf3a","3","Paige is gone.","Paige is gone.","0"
"139","id1d7694116bf3a","3","Do we know what we need?","Do we know what we need?","0"
"140","id1d7694116bf3a","3","Where are you?","Where are you?","0"
"141","id1d7694116bf3a","3","I want to thank everyone involved.","I want to thank everyone involved.","0"
"142","id1d7694116bf3a","3","I hope you are feeling better.","I hope you are feeling better.","0"
"143","id1d7694116bf3a","3","It may be an hour.","It may be an hour.","0"
"144","id1d7694116bf3a","3","We are all fragile.","We are all fragile.","0"
"145","id1d7694116bf3a","3","Had a great meeting.","Had a great meeting.","0"
"146","id1d7694116bf3a","1","Sounds good to me.","Sound good to me.","0"
"147","id1d7694116bf3a","1","We just pulled schedules from the web.","We just pulled schedules from the web.","0"
"148","id1d7694116bf3a","1","Get with Dot.","Get with Dot.","0"
"149","id1d7694116bf3a","1","Let's wait until Monday.","Let's wait until Monday.","0"
"150","id1d7694116bf3a","1","I am sorry you had to come in.","I am sorry you had to come in.","0"
"151","id1d7694116bf3a","1","Would you mind doing the following?","Would you mind doing the following?","0"
"152","id1d7694116bf3a","1","Tell her to get my expense report done.","Tell her to get my expense report done.","0"
"153","id1d7694116bf3a","1","I will take a look at this today.","I will take a look at this today.","0"
"154","id1d7694116bf3a","1","In a meeting with your guys now.","In a meeting with your guys now.","0"
"155","id1d7694116bf3a","1","Check and find out form?","Check and find out form?","0"
"156","id1d7694116bf3a","4","I'm available by cell when you get data points.","I'm avaliable to cell to get data points","0"
"157","id1d7694116bf3a","4","Let's wait until Monday.","Let's wait until Monday.","0"
"158","id1d7694116bf3a","4","Have I mentioned how much I love Houston traffic?","have i mentioned how much i love Houston traffic?","0"
"159","id1d7694116bf3a","4","Where are you DSM boy?","Where are you DSM boys?","0"
"160","id1d7694116bf3a","4","But I believe answer will be yes.","But i believe the answer will be yes.","0"
"161","id1d7694116bf3a","4","Do you know anything?","Do you know anything?","0"
"162","id1d7694116bf3a","4","Are you sure?","Are you sure?","0"
"163","id1d7694116bf3a","4","Do you need it today?","Do you need it today?","0"
"164","id1d7694116bf3a","4","Are you back in town?","Are you back in town?","0"
"165","id1d7694116bf3a","4","In a couple of weeks.","In a couple of weeks.","0"
"166","id9bd6a4957c10c","4","Joel will handle this.","joel will handle it!","0"
"167","id9bd6a4957c10c","4","Finally, I would delete the paragraph about lawyers.","Finnaly, i will delete the paragraph about the lawer","0"
"168","id9bd6a4957c10c","4","Not just 1 to 2.","Not just 1 to 2","0"
"169","id9bd6a4957c10c","4","Sorry for the unfriendly greeting in the lobby.","Sorry fo the unfriendly meeting in the lobby","0"
"170","id9bd6a4957c10c","4","Do we need to do anything here?","Do we need to do anything here","0"
"171","id9bd6a4957c10c","4","Probably won't have anything to tell late tonight.","Probably i wont have anything to talk tonight","0"
"172","id9bd6a4957c10c","4","This is the crew.","This is the crew","0"
"173","id9bd6a4957c10c","4","Go ahead and notify.","Go ahead and notify","0"
"174","id9bd6a4957c10c","4","Have a great trip.","Have a great trip","0"
"175","id9bd6a4957c10c","4","I told Gary you could make the call.","i told Gary you could call tonight","0"
"176","id9bd6a4957c10c","1","I thought so.","I thought so","0"
"177","id9bd6a4957c10c","1","She just came.","She just came","0"
"178","id9bd6a4957c10c","1","We are about to leave Heaven!","we are about to leave heaven","0"
"179","id9bd6a4957c10c","1","I can return earlier.","I can return earlier","0"
"180","id9bd6a4957c10c","1","On the plane, doors closing.","on the plane, doors closing","0"
"181","id9bd6a4957c10c","1","See you next week.","See you next week","0"
"182","id9bd6a4957c10c","1","Are you getting all the information you need?","Are you getting all the informations you need","0"
"183","id9bd6a4957c10c","1","It is not surprising.","It is not surpising","0"
"184","id9bd6a4957c10c","1","I am out of town on business tonight.","i am out of town on business tonight","0"
"185","id9bd6a4957c10c","1","Hopefully this can wait until Monday.","Hopefully this can made on weekend","0"
"186","id9bd6a4957c10c","2","Anything exciting going on today?","Anything exciting going on today","0"
"187","id9bd6a4957c10c","2","Do you have a number for him?","Do you have a number of him?","0"
"188","id9bd6a4957c10c","2","Did you talk to Ava this morning?","Did you talk to Ava this morning?","0"
"189","id9bd6a4957c10c","2","Sorry for the unfriendly greeting in the lobby.","Sorry for the unfriendly meeting in the lobby!","0"
"190","id9bd6a4957c10c","2","Jane, what about this Thursday for lunch?","Jane, whata about this Thursday for lunch?","0"
"191","id9bd6a4957c10c","2","That would be great.","That would be great!","0"
"192","id9bd6a4957c10c","2","Maybe traffic will be light on Thursday.","Maybe traffic will be line on Thursday.","0"
"193","id9bd6a4957c10c","2","Are you going to join us for lunch?","Are you going to join us for lunch?","0"
"194","id9bd6a4957c10c","2","I will need to have my memory refreshed.","I will need to have my memorie refreced!","0"
"195","id9bd6a4957c10c","2","No can do.","No can do","0"
"196","id9bd6a4957c10c","3","Thai sounds good.","Thai sounds good!","0"
"197","id9bd6a4957c10c","3","I thought so.","I thought so!","0"
"198","id9bd6a4957c10c","3","Can you remember?","Can you remember?","0"
"199","id9bd6a4957c10c","3","We need a process to deal with this.","We need a proccess to deal with","0"
"200","id9bd6a4957c10c","3","Perhaps there was a glitch.","Perhaps there was a glich","0"
"201","id9bd6a4957c10c","3","Is that enough for this week?","Is that enough for this week?","0"
"202","id9bd6a4957c10c","3","On the plane, doors closing.","On the plane, doors closing!","0"
"203","id9bd6a4957c10c","3","Also it appears no payment is required tomorrow.","Also it appears, no paymenst is requier for the moment","0"
"204","id9bd6a4957c10c","3","Did we get ours back?","Did we get ours back?","0"
"205","id9bd6a4957c10c","3","What number should he call you on?","What number should he call you back","0"
"206","id3d3533f2ad9f7","1","What will happen to this project?","What will happen to this project?","0"
"207","id3d3533f2ad9f7","1","No surprise there.","No surprise there.","0"
"208","id3d3533f2ad9f7","1","That would be great.","That would be great.","0"
"209","id3d3533f2ad9f7","1","Get with Dot.","Get with dot.","0"
"210","id3d3533f2ad9f7","1","The contract is a bit complicated.","The contract is a bit complicated.","0"
"211","id3d3533f2ad9f7","1","I told you silly.","I told you silly.","0"
"212","id3d3533f2ad9f7","1","I wish he would leave Deerfield alone.","I wish he would leave Deerfield alone.","0"
"213","id3d3533f2ad9f7","1","Tell her to get my expense report done.","Tell her to have my text report done.","0"
"214","id3d3533f2ad9f7","1","I just had my head in the clouds.","I just had my head in the clouds.","0"
"215","id3d3533f2ad9f7","1","Does Friday at 10 work for you?","Does Friday at 10 works for you?","0"
"216","id3d3533f2ad9f7","4","Will give you more shortly.","Will give you more shortly.","0"
"217","id3d3533f2ad9f7","4","OK by me.","OK by me.","0"
"218","id3d3533f2ad9f7","4","I am on my way.","I am on my way.","0"
"219","id3d3533f2ad9f7","4","Message is getting through.","Message is getting through.","0"
"220","id3d3533f2ad9f7","4","Can you do the Gallup contracts as well?","Can you do the Gallup contracts as well?","0"
"221","id3d3533f2ad9f7","4","Will you come get me?","Will you come get me?","0"
"222","id3d3533f2ad9f7","4","This is good I think.","This is good i think.","0"
"223","id3d3533f2ad9f7","4","This is the neatest toy I have had.","This is the neatest toy I have had.","0"
"224","id3d3533f2ad9f7","4","Mike, are you aware of this?","Mike, are you aware of this?","0"
"225","id3d3533f2ad9f7","4","What's his problem?","What's his problem?","0"
"226","id3d3533f2ad9f7","3","Hang in there guys.","Hang in there guys.","0"
"227","id3d3533f2ad9f7","3","I hope he is having a fantastic time.","I hope he is having a fantastic time.","0"
"228","id3d3533f2ad9f7","3","Anything exciting going on today?","Anything exciting going on today?","0"
"229","id3d3533f2ad9f7","3","Wish me luck with Linda.","Wish me luck with Linda.","0"
"230","id3d3533f2ad9f7","3","If we don't get it, could be trouble.","If we don't get it, could be trouble.","0"
"231","id3d3533f2ad9f7","3","Would you mind doing the following?","Would you mind doing anything?","0"
"232","id3d3533f2ad9f7","3","Thanks for the quick turnaround.","Thanks for the quick turnaround.","0"
"233","id3d3533f2ad9f7","3","I better go.","I better go.","0"
"234","id3d3533f2ad9f7","3","What a pain.","What a pain.","0"
"235","id3d3533f2ad9f7","3","Mike is putting pressure on me.","Mike is putting pressure on me.","0"
"236","id3d3533f2ad9f7","2","Is that OK?","Is that OK?","0"
"237","id3d3533f2ad9f7","2","Please stay on top of the security issue.","Please stay in top of the security issue.","0"
"238","id3d3533f2ad9f7","2","I will be back Friday.","I will be back Friday.","0"
"239","id3d3533f2ad9f7","2","I still believe a September 30 closing is unrealistic.","I still believe a September 30 closing is unbelievable.","0"
"240","id3d3533f2ad9f7","2","Just wanted to touch base.","Just wanted to touch base.","0"
"241","id3d3533f2ad9f7","2","Did that happen?","Did that happen?","0"
"242","id3d3533f2ad9f7","2","We can have wine and catch up.","We can have wine and catch up.","0"
"243","id3d3533f2ad9f7","2","Pressure to finish my review!","Pressure to finish my review!","0"
"244","id3d3533f2ad9f7","2","Keep me posted!","Keep me posted.","0"
"245","id3d3533f2ad9f7","2","What is the cost issue?","What is the cost issue?","0"
"246","ida90f5cd2503a7","1","Need to watch closely.","Need to watch closely.","0"
"247","ida90f5cd2503a7","1","I don't know who/what got everything stirred up today.","I don't know who/what got everything stirred up today.","0"
"248","ida90f5cd2503a7","1","Better than most recently.","Better than most recently.","0"
"249","ida90f5cd2503a7","1","Does Friday at 10 work for you?","Does Friday at 10 work for you?","0"
"250","ida90f5cd2503a7","1","Geez, I sound pathetic.","Geez, I sound pathetic!","0"
"251","ida90f5cd2503a7","1","What is up with ENE?","What is up with ENE?","0"
"252","ida90f5cd2503a7","1","See you later.","See you later.","0"
"253","ida90f5cd2503a7","1","I changed that in one prior draft.","I changed that in one prior draft.","0"
"254","ida90f5cd2503a7","1","Mike is putting pressure on me.","Mike is putting presure on me.","0"
"255","ida90f5cd2503a7","1","DS and LS","DS and LS","0"
"256","ida90f5cd2503a7","3","Just in case we haven't invited any of them.","Just in case we haven't invited any of them.","0"
"257","ida90f5cd2503a7","3","I was planning to attend.","I was planning to attend.","0"
"258","ida90f5cd2503a7","3","How's the share price?","How's the share price?","0"
"259","ida90f5cd2503a7","3","Even Michael was impressed.","Even Michael was impressed.","0"
"260","ida90f5cd2503a7","3","A gift isn't necessary.","A gift isn't necessary.","0"
"261","ida90f5cd2503a7","3","Please send it to both of us.","Please send it to both of us.","0"
"262","ida90f5cd2503a7","3","Are you there?","Are you there?","0"
"263","ida90f5cd2503a7","3","Not just 1 to 2.","Not just 1 to 2.","0"
"264","ida90f5cd2503a7","3","Are you in today?","Are you in today?","0"
"265","ida90f5cd2503a7","3","Stop working weekends again.","Stop working weekends again.","0"
"266","ida90f5cd2503a7","2","Don't forget the wood.","Don't forget the wood.","0"
"267","ida90f5cd2503a7","2","Keep me posted!","Keep me posted.","0"
"268","ida90f5cd2503a7","2","We are all fragile.","We are all fragile.","0"
"269","ida90f5cd2503a7","2","What is in the plan?","What is in the plan?","0"
"270","ida90f5cd2503a7","2","What is the cost issue?","What is the cost issue?","0"
"271","ida90f5cd2503a7","2","See you next week.","See you next week.","0"
"272","ida90f5cd2503a7","2","I have forwarded to Kelly.","I have forwarded to Kelly.","0"
"273","ida90f5cd2503a7","2","This looks fine.","This looks fine.","0"
"274","ida90f5cd2503a7","2","I like it.","I like it.","0"
"275","ida90f5cd2503a7","2","I think afraid of mass exodus.","I think afraid of mass exodus.","0"
"276","ida90f5cd2503a7","4","Where are they hitting the books at?","Where are they hitting the books at ?","0"
"277","ida90f5cd2503a7","4","You have a nice holiday too.","You have a nice holiday too.","0"
"278","ida90f5cd2503a7","4","Is that EOTT or the company that owns it?","Is that EOTT or the company that owns it?","0"
"279","ida90f5cd2503a7","4","I'm available by cell when you get data points.","I;m available at cell when you get data points.","0"
"280","ida90f5cd2503a7","4","What level of detail do you need?","What level of detail do you need?","0"
"281","ida90f5cd2503a7","4","Not just 1 to 2.","Not just 1 or 2.","0"
"282","ida90f5cd2503a7","4","This is the neatest toy I have had.","This is the neatest toy i have had.","0"
"283","ida90f5cd2503a7","4","A gift isn't necessary.","A gift isn't necessary.","0"
"284","ida90f5cd2503a7","4","Do you have a number for him?","Do you have a number of him?","0"
"285","ida90f5cd2503a7","4","She called and wants to come over this AM.","She called and wants to come over this AM.","0"
"286","id95955346653c","2","Has anyone else heard anything?","Has anyone said anything","0"
"287","id95955346653c","2","Are you on the diet with me?","Are you on the diet with me?","0"
"288","id95955346653c","2","See you soon!","See you soon","0"
"289","id95955346653c","2","Hope you guys are doing fine.","Hope you ","0"
"290","id95955346653c","2","Thanks good job.","Thanks good job","0"
"291","id95955346653c","2","Can you get with Mary and make sure?","Can you get with Mary and make sure?","0"
"292","id95955346653c","2","Do we know what we need?","Do we know what we need?","0"
"293","id95955346653c","2","What's your proposal?","What's your proposal?","0"
"294","id95955346653c","2","I'm glad you liked it.","I'm glad that","0"
"295","id95955346653c","2","I may take the opportunity to run some errands.","I may take the oportunity to run some erands","0"
"296","id95955346653c","3","I am walking in now.","I am walking in now","0"
"297","id95955346653c","3","Mikey is invited also.","Mikey is invited also","0"
"298","id95955346653c","3","He would love anything about rocks.","He would love anything about rocks","0"
"299","id95955346653c","3","Do you and George have a thing going?","Do you and George have a thing going?","0"
"300","id95955346653c","3","Next time ask Jim to call me.","Next time ask Jim to call me","0"
"301","id95955346653c","3","We can work around these plans if you prefer.","We can work around these plans if you prefer","0"
"302","id95955346653c","3","Just got this.","Just got this","0"
"303","id95955346653c","3","Please send me an email to let me know.","Please sent me an email to let me know","0"
"304","id95955346653c","3","Ava, please put me on the list.","Ava, please put me on the list.","0"
"305","id95955346653c","3","Yes I did.","Yes I did.","0"
"306","id95955346653c","4","I am freaking out!","I am freaking out!","0"
"307","id95955346653c","4","I sent it to her.","I sent it to her","0"
"308","id95955346653c","4","Have a great day!","Have a great day!","0"
"309","id95955346653c","4","Sorry about that!","Sorry about that!","0"
"310","id95955346653c","4","They are more efficiently pooled.","They are more efficiently pooled.","0"
"311","id95955346653c","4","I changed that in one prior draft.","I changed that in one prior draft.","0"
"312","id95955346653c","4","Do you and George have a thing going?","Do you and George have a thing going?","0"
"313","id95955346653c","4","Board meeting running long.","Board meeting going long.","0"
"314","id95955346653c","4","It is not surprising.","It's not surprising.","0"
"315","id95955346653c","4","Call me to give me a heads up.","Call me to give me a heads up.","0"
"316","id95955346653c","1","Even Michael was impressed.","Even Michael was impresed.","0"
"317","id95955346653c","1","Would you have John send me a message?","Would you have John sent me a message?","0"
"318","id95955346653c","1","Am I getting a good package?","Am I getting a good package?","0"
"319","id95955346653c","1","Thanks for the quick turnaround.","Thanks for the quick turnaround.","0"
"320","id95955346653c","1","I am trying again.","I am trying again.","0"
"321","id95955346653c","1","How's the share price?","How's the share price?","0"
"322","id95955346653c","1","Wish me luck with Linda.","Wish me luck with Linda.","0"
"323","id95955346653c","1","Um, no sir.","Um, no sir!","0"
"324","id95955346653c","1","Sounds good to me.","Sounds good to me.","0"
"325","id95955346653c","1","I told you silly.","I told you silly.","0"
"326","ida8cf5ca5e993a","2","Neal, can you help with this?","Neal, can you help me with this ? ","0"
"327","ida8cf5ca5e993a","2","Better than most recently.","Better than most recently.","0"
"328","ida8cf5ca5e993a","2","We must be consistent.","We must be consistent.","0"
"329","ida8cf5ca5e993a","2","Do you still need me to sign something?","Do you still need me to sign something ? ","0"
"330","ida8cf5ca5e993a","2","This is all so unreal.","This is all so unreal!","0"
"331","ida8cf5ca5e993a","2","The rest is a byproduct of slapshot.","The rest is a bioproduct of slupshot.","0"
"332","ida8cf5ca5e993a","2","Mikey is invited also.","Mikey is invited also!","0"
"333","ida8cf5ca5e993a","2","He would love anything about rocks.","He would love anything about rocks!","0"
"334","ida8cf5ca5e993a","2","Hope you guys are doing fine.","Hope you guys are doing fine.","0"
"335","ida8cf5ca5e993a","2","On my way back.","On my way back.","0"
"336","ida8cf5ca5e993a","4","Will you and KB be around this afternoon?","Will you and KB be around this afternoon?","0"
"337","ida8cf5ca5e993a","4","Have you done any deals yet?","Have you done any deals yet?","0"
"338","ida8cf5ca5e993a","4","I'm glad you liked it.","I'm glad you liked it.","0"
"339","ida8cf5ca5e993a","4","Is that enough for this week?","Is that enough for this week?","0"
"340","ida8cf5ca5e993a","4","Daniel A. Muschar","Daniel A. Muschar.","0"
"341","ida8cf5ca5e993a","4","Where are you?","Where are you?","0"
"342","ida8cf5ca5e993a","4","How's the share price?","How's the share price?","0"
"343","ida8cf5ca5e993a","4","About 15 minutes.","About 15 minutes.","0"
"344","ida8cf5ca5e993a","4","We need to talk about this month.","We need to talk about this month.","0"
"345","ida8cf5ca5e993a","4","I have other things to worry about!","I have other things to worry about!","0"
"346","id0bdef54858cd3","3","Please revise accordingly.","Please revise accordingly","0"
"347","id0bdef54858cd3","3","What is going on?","What is going on?","0"
"348","id0bdef54858cd3","3","Does Friday at 10 work for you?","Does Friday at 10 work for you?","0"
"349","id0bdef54858cd3","3","Thursday works better for me.","Thrusday works better for me.","0"
"350","id0bdef54858cd3","3","I think afraid of mass exodus.","I think afraid of mass exodus","0"
"351","id0bdef54858cd3","3","Thai sounds good.","Thai sounds good.","0"
"352","id0bdef54858cd3","3","I am on my way.","I am on my way.","0"
"353","id0bdef54858cd3","3","Did you talk to Ava this morning?","Did you talk to Ava this morning?","0"
"354","id0bdef54858cd3","3","I have a high level in my office.","I have a high level in my office.","0"
"355","id0bdef54858cd3","3","Yes I am here actually.","Yes i am here actually.","0"
"356","id0bdef54858cd3","1","Not just 1 to 2.","Not just 1 or 2.","0"
