original_clean,Unnamed: 0,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score,memorability_score_1,memorability_score_2,final_leiva_memscore,llm_mem,memorability_leiva
please send to hartsoe for comment,71,Can you please review the latest sales figures for our quarterly report?,Please send to Hartsoe for comment.,4,2,I've noticed some inconsistencies in the marketing campaign data.,Please send to Hartsoe for comment.,8,2,Please send to Hartsoe for comment.,2,low,2.0,6,low,low,low,low,low,low,1.0,1.0,17.47518635,17.47518635,17.47518635,6.0,low
we are all fragile,86,have you ever felt like nothing's going right?,We are all fragile.,6,2,Do you think we can handle the pressures of modern life?,We are all fragile.,7,2,We are all fragile.,8,high,1.0,4,medium,medium,medium,high,low,low,1.8,2.0,13.0776249,13.0776249,13.0776249,6.5,high
i can return earlier,94,can you return earlier today?,I can return earlier.,8,1,"Your flight is delayed, can you still make it to the meeting?",I can return earlier.,6,2,I can return earlier.,8,high,2.0,4,medium,high,low,low,low,high,2.6,2.2,12.7588337,12.7588337,12.7588337,7.0,high
i am trying again,95,can you please retry my password?,I am trying again.,4,1,Can you solve the equation 2x + 3 = 7?,I am trying again.,8,2,I am trying again.,9,high,1.0,4,low,low,low,low,low,medium,1.4,1.0,12.7230704,12.7230704,12.7230704,6.0,high
ill see you thursday october 25,99,Are you free to meet on Thursday October 25?,I'll see you Thursday October 25.,8,3,Let's meet up to discuss the project proposal next week.,I'll see you Thursday October 25.,8,2,I'll see you Thursday October 25.,3,low,5.0,6,low,high,medium,high,medium,high,3.0,2.0,15.7817629,15.7817629,15.7817629,8.0,low
what does held mean,100,The judge held the gavel tightly in her hand.,What does 'held' mean?,4,3,I've been holding this position for hours,What does 'held' mean?,8,2,"What does ""held"" mean?",7,high,0.0,4,low,high,low,high,low,medium,2.6,1.8,13.11846,13.11846,13.11846,6.0,high
of course not,109,Did you eat the last slice of pizza?,Of course not,6,2,Are you lying to me right now?,Of course not,10,2,Of course not,7,high,1.0,3,low,low,low,low,low,medium,1.4,1.0,11.5519483,11.5519483,11.5519483,8.0,high
what do you hear,110,Do you hear the music at the party?,What do you hear?,8,2,The wind whispers through the trees.,What do you hear?,7,1,What do you hear?,8,high,0.0,4,low,medium,low,medium,low,medium,2.0,1.4,13.3835651,13.3835651,13.3835651,7.5,high
203 561 9796 cell,117,where did you get your phone number?,203 561 9796- cell,4,3,Can you give me your cell phone number to set up our dinner plans?,203 561 9796- cell,10,1,203 561 9796- cell,1,low,-3.0,4,low,high,medium,high,high,low,2.2,2.0,20.86493923,20.86493923,20.86493923,7.0,low
for your information,123,is the meeting still scheduled for tomorrow?,For your information.,6,2,Have you checked the latest stock market news?,"For your information, I don't have access to real-time stock market data.",5,3,For your information.,8,high,10.0,3,low,low,low,high,low,low,1.4,1.0,-1.0,13.6325312,13.6325312,5.5,high
what a nice note,124,I just got the most amazing flowers from my secret admirer.,What a nice note.,8,2,I appreciate the thought you put into choosing this gift for me.,What a nice note.,9,1,What a nice note.,7,high,0.0,4,low,medium,medium,high,low,low,1.8,1.6,12.6897545,12.6897545,12.6897545,8.5,high
paige is gone,131,Paige is missing and I'm starting to get worried.,Paige is gone.,8,2,I saw her car missing from the driveway this morning.,Paige is gone.,5,2,Paige is gone.,7,high,1.0,3,high,high,medium,high,high,medium,2.6,2.8,13.3283845,13.3283845,13.3283845,6.5,high
see you soon,132,Are we going to the beach tomorrow?,See you soon!,8,1,I'll pick you up at the airport on Friday.,See you soon!,10,1,See you soon!,9,high,1.0,3,low,low,high,high,high,low,1.4,1.4,12.483413,11.5405415,12.011977250000001,9.0,high
see you soon,132,Are we going to the beach tomorrow?,See you soon!,8,1,I'll pick you up at the airport on Friday.,See you soon!,10,1,See you soon!,9,high,1.0,3,low,low,high,high,high,low,1.4,1.4,12.483413,14.261403,13.372408,9.0,high
see you soon,132,Are we going to the beach tomorrow?,See you soon!,8,1,I'll pick you up at the airport on Friday.,See you soon!,10,1,See you soon!,9,high,1.0,3,low,low,high,high,high,low,1.4,1.4,14.261403,11.5405415,12.900972249999999,9.0,high
probably need to check with hr group providing services,151,Can we provide out-of-office services to non-employees?,Probably need to check with HR group providing services.,8,2,John's new project requires different benefits than his current ones.,Probably need to check with HR group providing services.,8,2,Probably need to check with HR group providing services.,3,low,12.0,9,medium,medium,medium,low,medium,high,2.2,2.0,17.7393589,17.7393589,17.7393589,8.0,low
check with haedicke,152,Can you help me check the inventory for tomorrow's delivery?,Check with Haedicke,8,2,The stock price of Haedicke's preferred tech company has dropped significantly. What could be the reason?,Check with Haedicke,8,2,Check with Haedicke,1,low,7.0,3,low,low,low,low,low,low,1.0,1.0,18.19798265,18.19798265,18.19798265,8.0,low
it reads like she is in,153,the new James Bond movie looks like it's going to be a thrilling ride!,It reads like she is in.,4,2,I just finished reading her email.,It reads like she is in.,8,2,It reads like she is in.,8,high,2.0,6,low,low,medium,low,high,low,1.0,1.2,13.3145745,13.3145745,13.3145745,6.0,high
ds and ls,155,did you receive the package?,DS and LS,6,2,Have you finished reading 'To Kill a Mockingbird'?,DS and LS,1,3,DS and LS,8,high,1.0,3,low,high,low,low,low,low,1.8,1.8,13.5216015,13.5216015,13.5216015,3.5,high
in a couple of weeks,158,When can I expect my new laptop to arrive?,In a couple of weeks.,8,1,When can I expect the delivery of my new laptop?,In a couple of weeks.,7,2,In a couple of weeks.,9,high,2.0,5,low,high,medium,high,high,high,3.0,2.0,11.9694168,11.9694168,11.9694168,7.5,high
i am walking in now,160,are you already home?,I am walking in now.,6,1,"I see you're at the library, which section are you in now?",I am walking in now.,5,1,I am walking in now.,8,high,2.0,5,low,low,medium,high,low,low,1.4,1.2,12.9520403,12.9520403,12.9520403,5.5,high
they have capacity now,161,When will I be able to book the meeting room?,They have capacity now.,6,1,Can they handle another project right now?,They have capacity now.,10,1,They have capacity now.,8,high,8.0,4,low,high,medium,high,high,low,2.2,2.0,12.53941,12.53941,12.53941,8.0,high
not even close,171,can you even compare your cooking skills to a professional chef?,Not even close.,8,2,Do you know the capital city of Mongolia?,Not even close.,0,3,Not even close.,9,high,1.0,3,low,low,low,high,low,high,2.2,1.0,12.5240997,12.5240997,12.5240997,4.0,high
see you next week,173,Can't wait for our meeting next week!,See you next week.,9,2,Our project deadline has been moved to next week.,See you next week.,10,2,See you next week.,7,high,0.0,4,low,high,low,high,low,medium,2.6,1.8,12.23180923,12.23180923,12.23180923,9.5,high
see you later,175,Are you ready to meet up later?,See you later.,9,1,I'll bring the books for our next meeting.,See you later.,8,2,See you later.,7,high,1.0,3,low,high,high,low,low,medium,2.2,2.2,12.5018545,11.574383,12.038118749999999,8.5,high
see you later,175,Are you ready to meet up later?,See you later.,9,1,I'll bring the books for our next meeting.,See you later.,8,2,See you later.,7,high,1.0,3,low,high,high,low,low,medium,2.2,2.2,12.5018545,12.5018545,12.5018545,8.5,high
i have none,177,can you spare some change?,I have none.,7,1,Do you have any ripe bananas?,I have none.,9,1,I have none.,7,high,1.0,3,low,low,low,high,high,high,2.2,1.0,11.6067183,11.6067183,11.6067183,8.0,high
well be in state college around july 4,181,Are you planning a trip soon?,We'll be in State College around July 4.,7,2,Have you made travel plans for the upcoming holiday?,We'll be in State College around July 4.,8,2,We'll be in State College around July 4.,3,low,3.0,8,low,identical,high,high,low,medium,1.8,1.4,16.0104525,16.0104525,16.0104525,7.5,low
can we go to 150150 with foster,189,I'm thinking of getting tickets to the Foster's concert,Can we go to 150/150 with Foster?,8,2,Foster suggested we meet at his office at 3 PM. What do you think?,Can we go to 150/150 with Foster?,6,2,Can we go to 150/150 with Foster?,2,low,0.0,7,low,medium,low,high,low,low,1.8,1.4,18.27417325,18.27417325,18.27417325,7.0,low
thats another hole in the ny trip,192,Are we going to visit the Met in New York?,That's another hole in the NY trip.,6,3,I found a deal on flights to New York,That's another hole in the NY trip.,7,2,That's another hole in the NY trip.,3,low,3.0,7,low,high,low,high,low,medium,2.6,1.8,16.0436226,16.0436226,16.0436226,6.5,low
what period does the max rate assumption cover,195,What is the maximum rate for my credit card?,What period does the max rate assumption cover?,0,3,I'm considering applying for a mortgage with a high interest rate. What period does the max rate assumption cover?,What period does the max rate assumption cover?,5,2,What period does the max rate assumption cover?,3,low,9.0,8,low,low,medium,high,low,low,1.4,1.2,17.6262257,17.6262257,17.6262257,2.5,low
producers reacting to price management,202,How do companies deal with fluctuations in raw material prices?,Producers reacting to price management.,6,2,Have you adjusted production levels to meet the new market demand?,Producers reacting to price management.,5,2,Producers reacting to price management.,2,low,13.0,5,medium,high,medium,low,low,low,1.8,2.4,15.8598897,15.8598897,15.8598897,5.5,low
just wanted to touch base,207,Is the meeting still scheduled for tomorrow?,Just wanted to touch base.,6,1,Have we scheduled the team meeting for next week?,Just wanted to touch base.,8,2,Just wanted to touch base.,7,high,2.0,5,low,low,low,high,low,medium,1.8,1.0,13.4805242,13.4805242,13.4805242,7.0,high
thanks again for your help,210,What's the best way to improve my English vocabulary?,Thanks again for your help.,0,2,I've found the solution to your problem.,Thanks again for your help.,10,1,Thanks again for your help.,7,high,2.0,5,low,low,high,high,high,low,1.4,1.4,13.3014482,13.3014482,13.3014482,5.0,high
you didnt answer me about driving tomorrow,215,can i borrow your car for tomorrow?,You didn't answer me about driving tomorrow.,7,1,I'll pick you up at 6 PM tomorrow for our appointment.,You didn't answer me about driving tomorrow.,10,2,You didn't answer me about driving tomorrow.,3,low,8.0,7,medium,medium,low,high,low,low,1.8,1.8,16.7431911,16.7431911,16.7431911,8.5,low
do you need it today,216,can you lend me your laptop charger?,Do you need it today?,8,2,I need to buy some medicine for my cold,Do you need it today?,10,2,Do you need it today?,8,high,2.0,5,medium,high,low,high,high,high,3.0,2.2,13.4904268,13.4904268,13.4904268,9.0,high
i thought you were on 6,218,where are you right now?,I thought you were on 6.,8,2,I'll be at the library after work.,I thought you were on six today.,8,2,I thought you were on 6.,7,high,2.0,6,medium,medium,low,low,low,low,1.4,1.8,-1.0,13.1866502,13.1866502,8.0,high
joel will handle this,220,Can you please escalate this technical issue to Joel?,Joel will handle this.,8,2,There seems to be an issue with the finance reports,Joel will handle this.,8,2,Joel will handle this.,7,high,3.0,4,low,low,low,high,low,high,2.2,1.0,13.29658923,13.29658923,13.29658923,8.0,high
what is going on,224,I just saw the most incredible sunset on our beach vacation!,What is going on?,8,2,I see smoke coming from your roof.,What is going on?,5,2,What is going on?,7,high,1.0,4,low,medium,high,low,high,low,1.4,1.8,12.3145551,12.3145551,12.3145551,6.5,high
make the move,228,Are you ready to take our relationship to the next level?,Make the move.,8,2,The market trends for next quarter seem unfavorable. What's your take?,Make the move.,8,2,Make the move.,7,high,1.0,3,medium,low,low,high,low,low,1.4,1.4,11.44071,11.44071,11.44071,8.0,high
i will be thinking of you,231,I'll be missing you tomorrow when we're apart,I will be thinking of you.,8,2,I'm thinking of you in my prayers today,I will be thinking of you.,9,1,I will be thinking of you.,7,high,2.0,6,medium,high,medium,high,high,medium,2.6,2.4,12.992410199999998,12.992410199999998,12.992410199999998,8.5,high
who is this,233,who was the winner of the last football match?,Who is this?,10,3,Can you identify the author of 'To Kill a Mockingbird'?,Who is this?,5,3,Who is this?,7,high,1.0,3,low,low,low,low,low,low,1.0,1.0,12.2169697,12.2169697,12.2169697,7.5,high
did we plan that,235,are we meeting at the usual spot tomorrow?,Did we plan that?,8,2,Let's meet at the usual place tonight,Did we plan that?,10,2,Did we plan that?,7,high,0.0,4,medium,high,medium,high,medium,high,3.0,2.4,13.2713051,13.2713051,13.2713051,9.0,high
let me know if i miss anything,245,can you send me the meeting agenda?,Let me know if I miss anything.,7,2,I've prepared a detailed project proposal for next quarter.,Let me know if I miss anything.,10,2,Let me know if I miss anything.,3,low,0.0,7,low,medium,medium,high,medium,low,1.8,1.6,15.7831126,15.7831126,15.7831126,8.5,low
and leave my school alone,250,Are you going to vandalize my school's library again?,And leave my school alone.,8,3,Your constant bullying at school has to stop.,And leave my school alone.,8,2,And leave my school alone.,8,high,2.0,5,medium,high,medium,low,low,low,1.8,2.4,13.5281091,13.5281091,13.5281091,8.0,high
i will be there,251,are you coming to the party tonight?,I will be there.,8,1,Will you meet me at the usual spot by the park entrance at 6 PM?,I will be there.,10,1,I will be there.,7,high,0.0,4,medium,high,medium,low,high,high,2.6,2.4,11.0538664,11.0538664,11.0538664,9.0,high
what is in the plan,255,I'm really excited about the upcoming conference,What is in the plan?,8,3,I've prepared a detailed project proposal for our team meeting next week.,What is in the plan?,10,2,What is in the plan?,9,high,2.0,5,medium,medium,medium,low,high,low,1.4,2.0,11.6805716,11.6805716,11.6805716,9.0,high
if this has already been covered then i apologize,262,can you confirm the meeting time for tomorrow?,"If this has already been covered, then I apologize.",8,1,Have we discussed the possible causes of the recent system error?,"If this has already been covered, then I apologize.",5,2,"If this has already been covered, then I apologize.",2,low,8.0,9,low,low,low,high,low,low,1.4,1.0,17.1636687,17.1636687,17.1636687,6.5,low
budget allocation from glisan has been postponed,264,Can you please confirm the meeting schedule for Q3 budget review?,Budget allocation from Glisan has been postponed.,5,2,Have you received the latest update on the funding from Glisan?,Budget allocation from Glisan has been postponed.,6,2,Budget allocation from Glisan has been postponed.,2,low,0.0,7,low,low,low,high,high,low,1.4,1.0,17.5779493,17.5779493,17.5779493,5.5,low
im looking forward to the long weekend,266,The long weekend is finally here!,I'm looking forward to the long weekend!,8,1,I've planned a fun BBQ for the long weekend!,I'm looking forward to the long weekend!,10,1,I'm looking forward to the long weekend!,3,low,3.0,7,low,high,medium,high,low,medium,2.6,2.0,16.0761052,16.0761052,16.0761052,9.0,low
900 am every second saturday with michelle,269,When are we meeting for our regular team gathering?,9:00 AM every second Saturday with Michelle.,6,1,Let's plan our next hiking adventure.,9:00 AM every second Saturday with Michelle.,7,2,9:00 AM every second Saturday with Michelle.,0,low,8.0,7,medium,high,medium,high,low,medium,2.6,2.4,17.008677499999997,17.008677499999997,17.008677499999997,6.5,low
because there is traffic,271,Why am I stuck in traffic?,Because there is traffic.,6,2,Are you on your way to the meeting?,Because there is traffic.,8,2,Because there is traffic.,7,high,7.0,4,medium,high,medium,low,low,medium,2.2,2.4,13.0552875,13.0552875,13.0552875,7.0,high
i am fine with this,272,can we finalize the plans for our weekend trip?,I am fine with this.,8,1,I'd like us to use the old marketing strategy again.,I am fine with this.,8,2,I am fine with this.,7,high,2.0,5,low,medium,high,high,high,low,1.8,1.8,12.8431533,12.8431533,12.8431533,8.0,high
can you help with this one,289,can you recommend a good restaurant near me?,Can you help with this one?,4,3,The instructions for assembling this new table are quite confusing.,Can you help with this one?,8,2,Can you help with this one?,7,high,0.0,6,medium,low,low,low,medium,low,1.0,1.4,13.32889502,13.32889502,13.32889502,6.0,high
are you going to apply,291,the job posting says the application deadline is soon,Are you going to apply?,8,2,have you considered applying for the engineering scholarship?,are you going to apply?,8,2,Are you going to apply?,7,high,2.0,5,low,medium,medium,low,medium,high,2.2,1.6,12.8243933,13.7781333,13.3012633,8.0,high
take what you can get,307,I'm running out of storage on my phone. Can I download more data?,Take what you can get.,5,3,"I found an old recipe book in the attic, do you want to take a look?",Take what you can get.,8,2,Take what you can get.,10,high,2.0,5,low,low,low,low,low,low,1.0,1.0,12.93978427,12.93978427,12.93978427,6.5,high
shelley making good use of my jury duty time,313,How do you make the most of your jury duty time?,Shelley (making good use of my jury duty time),8,3,Have you finished reading 'To Kill a Mockingbird'?,Shelley (making good use of my jury duty time) – I just started the second read!,7,2,Shelley (making good use of my jury duty time),1,low,4.0,9,low,high,medium,low,low,medium,2.2,2.0,-1.0,18.2321508,18.2321508,7.5,low
i think that is the right answer,316,who painted the ceiling of the sistine chapel?,I think that is the right answer.,7,3,What is the capital city of France?,I think that is the right answer: Paris,10,2,I think that is the right answer.,8,high,0.0,7,low,medium,low,low,low,low,1.4,1.4,-1.0,13.252596,13.252596,8.5,high
target customers munis wapa bpa,318,Why do companies prioritize customer segmentation?,"Target customers: Munis, Wapa, BPA.",4,3,Who are the primary utility companies in Pennsylvania?,"Target customers: Munis, Wapa, BPA.",7,2,"Target customers: Munis, Wapa, BPA.",1,low,2.0,5,low,medium,low,low,low,low,1.4,1.4,23.2591715,23.2591715,23.2591715,5.5,low
can i meet with you at 400,319,I need to discuss the project deadline with you,Can I meet with you at 4:00?,6,1,I need to discuss some important business matters with you.,Can I meet with you at 4:00?,8,2,Can I meet with you at 4:00?,2,low,3.0,7,low,medium,low,high,low,medium,2.2,1.4,16.49499925,16.49499925,16.49499925,7.0,low
this looks fine,322,Did you receive the new design for our company's logo?,This looks fine.,6,2,Have you finished preparing the budget report for next quarter?,This looks fine.,8,2,This looks fine.,8,high,0.0,3,low,medium,medium,low,low,low,1.4,1.6,12.1550315,12.1550315,12.1550315,7.0,high
have a great trip,331,I've finally booked my flights for the weekend getaway!,Have a great trip.,8,2,I'm leaving for my vacation in Bali tomorrow.,Have a great trip.,10,2,Have a great trip.,9,high,0.0,4,low,high,low,low,high,high,2.6,1.8,12.8149553,12.8149553,12.8149553,9.0,high
can you help,339,I'm experiencing trouble with my new smartphone. Can you help me troubleshoot?,Can you help?,8,3,"I've spilled coffee on my phone, can it be fixed?",Can you help?,8,2,Can you help?,10,high,1.0,3,low,high,low,high,low,medium,2.6,1.8,13.302302999999998,13.302302999999998,13.302302999999998,8.0,high
ava la was socal meeting,343,How was your trip to California?,"Ava, LA was Socal meeting.",6,2,Did you attend the marketing conference in San Francisco last week?,"Ava, LA was Socal meeting.",0,3,"Ava, LA was Socal meeting.",1,low,2.0,5,low,-1,low,low,low,low,1.0,1.0,17.8484633,17.8484633,17.8484633,3.0,low
is it over,347,it's finally over?,Is it over?,8,2,I see you've cancelled all our plans for the weekend.,Is it over?,8,2,Is it over?,10,high,1.0,3,medium,medium,low,low,high,medium,1.8,1.8,12.9297145,12.9297145,12.9297145,8.0,high
ill presume it is dead until i hear otherwise,348,Did you receive the package?,I'll presume it is dead until I hear otherwise.,7,3,I found the fish you asked me to buy dead on arrival.,I'll presume it is dead until I hear otherwise.,3,1,I'll presume it is dead until I hear otherwise.,2,low,4.0,9,low,high,low,high,low,low,2.2,1.8,18.0365391,18.0365391,18.0365391,5.0,low
ill get you one,349,Can you get me the latest movie tickets?,I'll get you one.,7,2,Do you have a moment to pick up some fresh flowers for me?,I'll get you one.,8,1,I'll get you one.,8,high,0.0,4,low,low,low,high,low,low,1.4,1.0,12.94941,12.94941,12.94941,7.5,high
ok with me,351,can we meet up at 5 pm today?,OK with me.,8,1,Do you want to meet for lunch tomorrow at the new Italian place?,OK with me.,10,2,OK with me.,8,high,1.0,3,medium,medium,medium,low,high,medium,1.8,2.0,11.7696,11.7696,11.7696,9.0,high
mark ellenberg is off for passover,356,Is Mark Ellenberg off for the holiday?,Mark Ellenberg is off for Passover.,8,2,Have you heard when Mark Ellenberg will be back from his religious vacation?,Mark Ellenberg is off for Passover.,5,2,Mark Ellenberg is off for Passover.,3,low,3.0,6,high,high,low,high,high,high,3.0,2.6,16.377197199999998,16.377197199999998,16.377197199999998,6.5,low
i saw your 530 am message,358,did you forget to wake me up for my meeting?,I saw your 5:30 AM message!,4,1,Did you finish the report for tomorrow's meeting?,I saw your 5:30 AM message!,10,2,I saw your 5:30 AM message!,0,low,2.0,6,low,high,medium,low,low,medium,2.2,2.0,17.1136388,17.1136388,17.1136388,7.0,low
i am unavailable for the 1pm meeting,364,Can you confirm your availability for the 1PM meeting on Friday?,I am unavailable for the 1PM meeting.,8,1,I've scheduled a meeting for us at 1PM tomorrow. Is that convenient for you?,I am unavailable for the 1PM meeting.,8,2,I am unavailable for the 1PM meeting.,3,low,4.0,7,low,low,low,low,low,medium,1.4,1.0,18.17262655,18.17262655,18.17262655,8.0,low
were planning to go to west virginia for christmas,369,Have you guys decided on holiday plans yet?,We're planning to go to West Virginia for Christmas.,6,2,Have you decided on your holiday destination for Christmas?,We're planning to go to West Virginia for Christmas.,7,2,We're planning to go to West Virginia for Christmas.,3,low,4.0,9,medium,identical,high,high,high,high,2.2,1.8,16.899738199999998,16.899738199999998,16.899738199999998,6.5,low
happy valentines day,370,are you planning on doing anything special for Valentine's Day?,Happy Valentine's Day,8,3,I've received a beautiful red rose today,Happy Valentine's Day,10,2,Happy Valentine's Day,2,low,10.0,3,low,high,high,high,high,low,2.2,2.2,16.6944195,16.6944195,16.6944195,9.0,low
i talked to duran,377,How did you meet Duran?,I talked to Duran.,8,3,Have you spoken with Duran about the upcoming project proposal?,I talked to Duran.,10,2,I talked to Duran.,8,high,1.0,4,low,low,medium,high,medium,low,1.4,1.2,13.4119104,13.4119104,13.4119104,9.0,high
going well here,379,How's your job search going?,Going well here.,8,2,How's the progress on your project?,Going well here.,10,2,Going well here.,9,high,1.0,3,low,medium,medium,high,low,low,1.8,1.6,12.4797615,12.4797615,12.4797615,9.0,high
i am at the lake,383,are you having fun?,I am at the lake.,8,1,Have you gone to the lake where we used to have picnics?,I am at the lake.,10,2,I am at the lake.,8,high,2.0,5,medium,medium,medium,low,high,low,1.4,2.0,12.1137542,12.1137542,12.1137542,9.0,high
i told you silly,385,I'm running late because I forgot my keys again,I told you silly.,6,1,"You forgot your umbrella today, didn't you?",I told you silly.,7,2,I told you silly.,9,high,1.0,4,low,high,low,low,low,medium,2.2,1.8,12.631928299999998,12.631928299999998,12.631928299999998,6.5,high
thanks for your concern,390,How are you feeling after the accident?,Thanks for your concern.,8,1,Have you heard about the recent earthquake in Japan?,Thanks for your concern.,10,2,Thanks for your concern.,8,high,1.0,4,low,low,low,high,low,low,1.4,1.0,13.2493064,13.2493064,13.2493064,9.0,high
thursday works better for me,391,Can you make it to our meeting on Wednesday?,Thursday works better for me.,7,2,Can we meet next week to discuss the project proposal?,Thursday works better for me.,8,2,Thursday works better for me.,9,high,2.0,5,low,low,low,high,high,low,1.4,1.0,13.2387568,13.2387568,13.2387568,7.5,high
joel ephross on issues reacquiring economic interestsswaps from jedi2whitewing,394,The latest economic report suggests that the stock market will fluctuate wildly.,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,0,3,Have you heard about the recent financial negotiations between Joel Ephross and Jedi2/Whitewing?,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,5,2,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,1,low,12.0,9,low,medium,medium,high,low,low,1.8,1.6,25.87075735,25.87075735,25.87075735,2.5,low
chase back office and their restart plan updates individually,395,Can you provide the restart plan update for our project?,Chase back office and their restart plan updates individually.,4,2,Have you received the latest updates from Chase's back office regarding their restart plan?,Chase back office and their restart plan updates individually.,5,2,Chase back office and their restart plan updates individually.,1,low,9.0,9,low,medium,low,high,low,low,1.8,1.4,18.0823196,18.0823196,18.0823196,4.5,low
i am all over it,399,did you finish the project?,I am all over it.,8,2,Have you finished preparing the marketing strategy for our new product?,I am all over it.,10,2,I am all over it.,7,high,2.0,5,low,high,medium,high,low,medium,2.6,2.0,11.8490182,11.8490182,11.8490182,9.0,high
9 am update meeting,402,when do we have the project review meeting scheduled for today?,9 AM update meeting.,8,1,Have you finalized the project timeline for next month?,9 AM update meeting.,8,2,9 AM update meeting.,2,low,0.0,4,medium,medium,low,high,low,low,1.8,1.8,15.6839796,15.6839796,15.6839796,8.0,low
i guess thats additive to my stretch,404,I'm feeling exhausted from my morning workout,I guess that's additive to my stretch?,6,2,Have you finished reading the new marketing report?,I guess that's additive to my stretch?,5,3,I guess that's additive to my stretch?,2,low,4.0,7,low,low,low,high,low,low,1.4,1.0,17.7958601,17.7958601,17.7958601,5.5,low
